name,uid,keyPasses,chancesCreated,npXG,badges,ratingScores
Bukayo Saka,28122642,1.79,61.9,63.39,,{}
Jamal Musiala,28124579,84.52,94.05,63.39,,{}
Pedri,67293495,50.89,68.75,58.33,,{}
Assan Ouédraogo,2000188173,5.06,52.38,97.62,,{}
Gabriel Martinelli,19351309,12.8,68.75,81.85,,{}
Martin Ødegaard,53095137,16.96,47.92,42.86,,{}
Cliff Ingotsi,2002073504,49.7,26.79,58.33,,{}
Kendry Páez,2000252303,95.54,96.13,97.62,advanced playmaker,{"advanced playmaker":96}
Arda Güler,2000077193,93.45,99.11,46.73,,{}
Eliesse Ben Seghir,2000104892,52.38,73.81,75.6,,{}
Sandro Tonali,43298481,96.43,94.05,14.29,,{}
Dijon Kameri,16337074,7.74,31.55,16.96,,{}
Simone Pafundi,2000178997,96.43,97.92,92.26,advanced playmaker,{"advanced playmaker":96}
Florian Wirtz,91193048,49.7,22.92,52.68,,{}
Federico Valverde,78074594,20.24,84.23,38.69,,{}
Vitinha,83174762,40.77,63.69,92.26,,{}
Carlos Baleba,2000166563,38.69,52.38,52.68,,{}
Luís Guilherme,2000221458,52.38,22.92,66.67,,{}
Alex Scott,95079228,12.8,16.96,58.33,,{}
Karim Adeyemi,16279486,29.46,14.58,81.85,,{}
Khephren Thuram,49038952,31.85,28.87,63.39,,{}
Bruno Guimarães,19297055,81.25,63.69,27.68,,{}
Nicolas Seiwald,16191724,29.46,50.3,6.85,,{}
Noah Darvich,2000257651,36.61,82.44,58.33,,{}
Ferran Torres,89056845,80.65,86.9,78.57,advanced playmaker,{"advanced playmaker":82}
Oscar Gloukh,2000065061,47.32,60.12,38.69,,{}
Wilfried Gnonto,43500350,22.92,91.67,91.37,,{}
Fabian Rieder,84152512,36.61,73.81,63.39,,{}
Antony,19338230,20.24,78.87,52.68,,{}
Rayan Cherki,49056279,72.32,93.15,27.68,,{}
Dani Olmo,24048100,80.06,76.79,27.68,,{}
Umut Tohumcu,2000069208,20.24,68.75,16.96,,{}
Alan Varela,14241914,56.25,36.01,6.85,,{}
Kang-In Lee,67260506,77.38,80.36,63.39,,{}
Federico Silva,2002074618,64.58,91.67,66.67,,{}
Joris Chotard,49048599,10.12,15.77,72.32,,{}
Samuel Iling,2000034525,70.54,47.92,87.8,,{}
Rafael Luís,83297596,40.77,21.73,42.86,,{}
Jakob Napoleon Romsaas,2000072641,27.08,60.12,75.6,,{}
Giannis Konstantelias,36159280,64.58,66.07,72.32,,{}
Mads Bidstrup,27139716,31.85,28.87,31.85,,{}
Patrick Wimmer,16253898,88.39,68.75,14.29,,{}
André,19375640,43.15,12.2,16.96,,{}
Pedro Neto,29179717,49.7,25,38.69,,{}
Amad Diallo,43425040,16.96,43.45,21.73,,{}
Leo Sauer,2000192797,33.63,43.45,89.58,,{}
Marin Petkov,22086329,99.7,98.51,86.01,advanced playmaker,{"advanced playmaker":95}
Filip Krastev,22073681,91.96,92.56,42.86,,{}
Hákon Arnar Haraldsson,39060464,72.32,60.12,52.68,,{}
Archie Gray,2000182795,60.12,2.08,46.73,,{}
Rodrigo Riquelme,67259880,29.46,78.87,38.69,,{}
Aimar Vicandi,2000119309,86.31,58.33,60.71,,{}
Anderson Duarte,78102085,29.46,7.74,46.73,,{}
Cole Palmer,28120042,92.56,78.87,94.94,advanced playmaker,{"advanced playmaker":89}
Biel,2000086485,43.15,63.69,94.94,,{}
Lazar Samardžić,91182849,1.79,85.42,81.85,,{}
Tetê,19348859,67.56,76.79,72.32,,{}
Lennard Maloney,92092364,99.11,36.01,0.3,,{}
Fermín,2000141742,20.24,31.55,27.68,,{}
Sergio Arribas,67277465,5.06,36.01,21.73,,{}
Johnny,89066513,58.93,55.95,27.68,,{}
Amir Richardson,2000108547,33.63,10.71,81.85,,{}
Erwin Vogado,2002074739,7.74,40.18,72.32,,{}
Michał Karbownik,96122114,45.24,26.79,0.89,,{}
Giuseppe Orlandi,2002075154,93.45,45.83,86.9,,{}
Fabio Miretti,43500510,53.87,45.83,34.82,,{}
Gabriel Pirani,19409770,70.54,13.39,75.6,,{}
César Reyes,2002122901,77.38,80.36,52.68,,{}
Iván Leguizamón,14255870,56.25,54.46,34.82,,{}
Tobias Gulliksen,53167331,68.15,90.48,10.71,,{}
Tommy Doyle,28120038,43.15,94.94,52.68,,{}
Ricardo Paraíso,2002075328,27.08,43.45,98.81,,{}
Cristian Volpato,2000034865,60.12,25,21.73,,{}
Zakaria Leffin,2002072824,10.12,40.18,34.82,,{}
Yvandro Borges Sanches,2000124674,35.12,43.45,21.73,,{}
Lee Hyun-Ju,2000161791,61.31,13.39,52.68,,{}
David Royo,2002124665,62.2,73.81,42.86,,{}
Raúl Rincón,2002133123,89.58,18.15,46.73,,{}
Elmar Guðlaugsson,2002074496,97.32,73.81,84.52,advanced playmaker,{"advanced playmaker":85}
Gustavo Gomes,2000256293,31.85,28.87,31.85,,{}
Benjamín Ocampo,2002136170,63.1,73.81,84.52,,{}
Angelo Stiller,91184426,43.15,13.39,16.96,,{}
Luca Cossu,2002073880,43.15,40.18,68.45,,{}
Elías Cabrera,14222117,47.32,19.94,63.39,,{}
Nicolò Cambiaghi,43295822,36.61,44.94,10.71,,{}
Martinelli,19406135,14.58,60.12,21.73,,{}
Unai Vencedor,67260207,61.31,9.23,14.29,,{}
Bernardo Folha,83261132,16.96,15.77,3.57,,{}
Alessandro Riep,2000107179,40.77,58.33,42.86,,{}
Sithembiso Ndlovu,2002127319,56.25,61.9,81.85,,{}
Fabrizio González,2002074592,38.69,18.15,93.45,,{}
Newertton,2000135788,98.51,88.99,27.68,,{}
Roberto Martínez,2002143751,1.79,57.14,52.68,,{}
Carlos Alexandre,2002119897,58.93,52.38,84.52,,{}
Samuel Penksa,2000205923,33.63,7.74,38.69,,{}
Caetano Arantes Costa,2002119992,56.25,22.92,27.68,,{}
John Andreas Kalset Midthaug,2002122869,25,5.65,52.68,,{}
Manu Bueno,2000187407,20.24,31.55,6.85,,{}
Bruno Zapelli,14221545,69.05,86.9,34.82,,{}
Denilson,19354891,70.54,54.46,89.58,,{}
Lucas,2002120846,91.37,71.13,58.33,,{}
Santiago Simón,14223204,85.42,2.68,78.57,,{}
Manuel Duarte,2000094562,90.48,95.54,21.73,,{}
Mateo Tanlongo,14237116,14.58,25,21.73,,{}
Felipe Amaral,19408947,63.1,7.74,21.73,,{}
Matías González,14244919,7.74,97.32,1.79,,{}
Filippo Grassi,2002075420,75,68.75,78.57,,{}
Franco Watson,14224724,87.2,96.73,96.43,advanced playmaker,{"advanced playmaker":93}
João Pedro,2002119993,35.12,88.99,12.8,,{}
Gabriel Silva,19360961,97.92,99.7,89.58,advanced playmaker,{"advanced playmaker":96}
Matheus França,2000090823,94.64,18.15,63.39,,{}
Nicolas,19406071,90.48,85.42,93.45,advanced playmaker,{"advanced playmaker":90}
Didier Van de Voorde,2002144216,75,81.25,66.67,,{}
Stefan Vojinović,2002075662,87.8,36.01,10.71,,{}
Christian Sinisgallo,2002133565,84.52,47.92,42.86,,{}
Davide Corelli,2002135437,69.05,87.8,86.9,,{}
Adriano Yonezawa,2002119874,72.32,71.13,3.57,,{}
Ezequiel Fernández,14247304,25,10.71,38.69,,{}
Luciano Ferreyra,14227040,11.61,83.33,10.71,,{}
Mauro Carrizo,2000260155,66.37,36.01,3.57,,{}
Abbévi Bissirou,2002075511,56.25,47.92,78.57,,{}
Aritz Bilbao,2002134608,66.37,40.18,31.85,,{}
Mikey Moore,2000298715,10.12,4.46,21.73,,{}
Gabriel,2002152608,22.92,71.13,98.81,,{}
Ekaitz Esnaola,2002124667,64.58,54.46,46.73,,{}
Pablo Correa,2002127286,16.96,88.99,6.85,,{}
Sami Ouaissa,2000072968,82.14,85.42,46.73,,{}
Mikel Herrero,2002134609,5.06,7.74,96.43,,{}
Jandro Orellana,219032,75,55.95,1.79,,{}
Sebastián Sánchez,2000049548,88.99,73.81,38.69,,{}
Bernardo Valim,2000218553,27.08,25,72.32,,{}
Miguel Constantinescu,2000144742,47.32,57.14,21.73,,{}
Rodrigo Wilsmann,2002120085,94.64,47.92,52.68,,{}
Luciano Barrientos,2000312141,78.27,41.96,10.71,,{}
Luka Andrade,2000204278,82.14,76.79,89.58,advanced playmaker,{"advanced playmaker":83}
Emanuel Barco,2002146700,75,76.79,14.29,,{}
Florian Schärtel,2002120401,52.38,52.38,68.45,,{}
Ivenzo Thier,2000249737,16.96,5.65,78.57,,{}
Davide Bagnato,2002074013,75,66.07,27.68,,{}
Arlindo,2002121797,25,81.85,38.69,,{}
Axel Guerra,2000028232,47.32,63.69,69.64,,{}
Marcelo Mendoza,2002127270,14.58,3.87,16.96,,{}
Matías Lugo,2000051668,5.06,66.07,6.85,,{}
Julián Núñez,2002156592,1.79,31.55,99.7,,{}
Otacílio Cardoso,2002131895,79.17,19.94,66.67,,{}
Jonathan Almirón,2002074565,56.25,36.01,31.85,,{}
Gastón Giacone,2002136700,10.12,0.3,52.68,,{}
Liam Aubele,2002125610,38.69,10.71,89.58,,{}
Lautaro Reyes,2002127307,75,15.77,3.57,,{}
Gabriel Carvalho,2000273988,38.69,66.07,60.71,,{}
Pablo Desideri,2002128847,83.33,90.48,46.73,,{}
Daniel Pugliese,2000029943,56.25,40.18,31.85,,{}
David Bowers,2002133290,20.24,50.3,94.94,,{}
Thiago Zamora,2002127739,66.37,28.87,52.68,,{}
Esteban Bianchi,2002146875,29.46,36.01,72.32,,{}
Lima,2002121036,83.33,28.87,6.85,,{}
Martín Zárate,14219610,22.92,33.04,58.33,,{}
Eric da Silva,2002122511,1.79,0.89,34.82,,{}
Gustavo Villarroel,2000148512,25,10.71,6.85,,{}
Miguel Nieto,2002073106,79.17,5.65,69.64,,{}
Leonel Pavón,2002106441,47.32,36.01,21.73,,{}
Pereira,2002120763,12.8,1.49,27.68,,{}
Natan Benazzi,2002161130,7.74,19.94,52.68,,{}
Daniel Insfrán,2000294350,52.38,50.3,72.32,,{}
Daniel Mancinelli,2002074074,86.31,83.33,10.71,,{}
Guillermo Pisani,2002128505,5.06,36.01,78.57,,{}
Siloé Nunes Melo,2002121702,1.79,3.27,84.52,,{}
Lucas Loureiro,2002170963,45.24,21.13,75.6,,{}