name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,chancesCreated,npXG,badges,ratingScores
Bukayo Saka,28122642,82.7,86.05,35.91,5.18,18.1,87.5,94.03,88.48,advanced playmaker,{"advanced playmaker":90}
Jamal Musiala,28124579,92.58,92.63,24.49,2.19,40.35,97.95,99.16,88.48,advanced playmaker,{"advanced playmaker":95}
Jude Bellingham,29232937,45.24,18.98,56.2,47.99,82.14,53.96,81.06,71.83,,{}
Eduardo Camavinga,49056243,58.72,23.27,74.39,61.99,92.21,71.92,57.65,74.21,,{}
Moisés Caicedo,86078360,50.65,28.17,43.75,62.59,51.91,56.53,68.8,42.77,,{}
Joško Gvardiol,24060473,14.69,92.63,97.43,98.65,70.06,24.67,23.46,31.67,,{}
Pedri,67293495,89.83,23.27,13.06,11.52,77.94,93.8,95.24,85.96,advanced playmaker,{"advanced playmaker":92}
Assan Ouédraogo,2000188173,66.23,44.22,23.37,21.6,18.94,87.97,92.35,99.58,advanced playmaker,{"advanced playmaker":93}
Martin Ødegaard,53095137,63.29,38.15,13.99,4.15,58.82,89.46,91.09,79.52,advanced playmaker,{"advanced playmaker":87}
João Neves,2000030130,70.71,75.09,47.9,54.9,63.53,70.48,73.74,66.51,,{}
Phil Foden,28108494,83.21,69.96,25,13.2,10.82,50.47,83.77,85.96,,{}
Ronald Araujo,78085068,12.17,95.34,97.62,98.55,93.8,25.14,31.06,42.77,,{}
Pape Matar Sarr,12080051,76.68,28.17,46.74,35.07,52.43,77.1,85.21,74.21,advanced playmaker,{"advanced playmaker":79}
Estêvão,2000263999,26.31,2.71,7.32,33.02,8.26,66.51,75.09,99.81,,{}
Kendry Páez,2000252303,75.84,82.93,45.66,3.22,48.51,99.49,99.58,99.58,advanced playmaker,{"advanced playmaker":100}
Enzo Fernández,14229525,60.17,15.95,39.46,42.49,51.07,62.73,41.93,47.9,,{}
Arda Güler,2000077193,99.86,88.81,13.67,0.05,49.25,99.16,99.86,81.95,advanced playmaker,{"advanced playmaker":94}
Eliesse Ben Seghir,2000104892,74.39,12.27,10.45,2.05,74.25,94.03,96.08,93.7,advanced playmaker,{"advanced playmaker":95}
Giorgio Scalvini,43500755,10.82,69.96,92.07,98.46,72.76,10.73,16.84,5.83,,{}
Sandro Tonali,43298481,47.67,12.27,42.54,22.57,80.83,99.58,99.16,60.21,,{}
Jorrel Hato,2000105654,35.35,44.22,85.17,58.07,90.86,31.11,32.7,31.67,,{}
Marc Guéhi,28108033,12.73,75.09,84.84,95.57,48.51,16.42,8.86,16.98,,{}
Dijon Kameri,16337074,80.41,23.27,54.38,30.04,73.55,88.34,86.57,63.39,,{}
Ousmane Diomande,2000160511,34.56,69.96,98.27,97.62,98.46,48.41,59.19,52.52,,{}
Florian Wirtz,91193048,54.43,79.29,13.2,9.28,22.01,93.7,83.77,84.19,advanced playmaker,{"advanced playmaker":87}
Federico Valverde,78074594,87.73,44.22,24.63,4.34,20.52,89.93,97.9,76.73,advanced playmaker,{"advanced playmaker":88}
Vitinha,83174762,45.71,7,36.33,27.94,72.2,92.35,94.36,98.55,advanced playmaker,{"advanced playmaker":95}
Jurriën Timber,37063644,25.33,50.7,57.51,81.11,81.9,17.44,38.53,24.21,,{}
Carlos Baleba,2000166563,57.84,57.65,34.38,31.39,39.65,92.16,92.35,84.19,advanced playmaker,{"advanced playmaker":90}
Trent Alexander-Arnold,28104124,36.94,82.93,85.17,67.12,95.43,53.31,82.98,24.21,,{}
Kenneth Taylor,37073317,87.97,15.95,48.23,47.71,94.73,43,53.03,47.9,,{}
Xavi Simons,67288555,72.43,5.27,8.72,5.74,30.27,77.89,84.65,71.83,advanced playmaker,{"advanced playmaker":78}
Sven Botman,37063649,11.8,50.7,82.18,95.76,81.9,33.07,21.83,31.67,,{}
Javi Guerra,2000034344,75.84,69.96,52.43,27.01,67.68,72.29,81.06,87.13,advanced playmaker,{"advanced playmaker":80}
Piero Hincapié,86066853,18.66,88.81,86.15,93.89,82.84,28.22,27.15,16.98,,{}
Nico Schlotterbeck,92088306,29.01,69.96,86.89,66.32,79.15,56.53,57.65,31.67,,{}
Ibrahima Konaté,48037822,9.65,44.22,87.87,92.58,66.18,10.73,31.06,10.91,,{}
Alex Scott,95079228,62.64,23.27,28.68,28.68,55.92,88.9,78.73,85.96,advanced playmaker,{"advanced playmaker":85}
Christopher Nkunku,85140301,27.38,1.35,5.55,0.79,10.45,65.21,99.49,87.13,,{}
Jacob Ramsey,29193659,75.33,38.15,88.01,56.11,55.92,82.04,72.95,76.73,advanced playmaker,{"advanced playmaker":77}
Micky van de Ven,37084591,72.43,50.7,97.53,87.17,86.47,63.25,51.68,47.9,,{}
Khephren Thuram,49038952,56.3,79.29,50.28,41.74,81.16,91.28,85.87,88.48,advanced playmaker,{"advanced playmaker":89}
Bruno Guimarães,19297055,57.28,8.96,32.84,41.93,75.65,97.71,94.36,69.31,,{}
Elliot Anderson,28127254,98.65,44.22,18.42,16.04,32.84,65.21,84.65,81.95,,{}
Paul Wanner,2000138516,88.29,44.22,34.75,12.92,63.15,82.46,97.57,81.95,advanced playmaker,{"advanced playmaker":87}
Roméo Lavia,18115012,55.92,23.27,29.71,48.41,79.76,70.48,73.74,56.67,,{}
Filippo Mané,2000121585,28.5,88.81,98.74,99.02,97.53,29.94,41.93,16.98,,{}
Willian Pacho,86075795,12.17,12.27,95.48,98.93,83.12,25.56,34.61,42.77,,{}
Warren Zaïre-Emery,2000179712,85.63,38.15,53.26,48.79,66.74,59.75,45.8,63.39,,{}
Yunus Musah,28129089,71.27,38.15,50.65,51.26,61.47,77.1,71.36,63.39,,{}
Nicolas Louis,2002074395,89.83,38.15,15.95,20.76,48.88,79.48,75.09,74.21,advanced playmaker,{"advanced playmaker":76}
Lucas Gourna-Douath,49056367,57.84,57.65,70.94,70.15,88.48,61.33,46.74,47.9,,{}
Castello Lukeba,49056273,17.07,64.18,79.34,95.85,44.54,8.3,4.34,24.21,,{}
Nicolas Seiwald,16191724,80.41,32.84,52.8,42.26,75.51,90.95,91.74,47.9,,{}
Noah Darvich,2000257651,97.71,88.81,34.61,1.17,32.37,91.98,97.39,85.96,advanced playmaker,{"advanced playmaker":92}
Mason Mount,28103590,60.63,69.96,39.46,25.23,19.59,61.33,95.24,84.19,,{}
Oscar Gloukh,2000065061,61.38,32.84,17.86,20.38,45.24,93.38,93.75,76.73,advanced playmaker,{"advanced playmaker":88}
Fabian Rieder,84152512,87.59,23.27,16.56,10.21,51.59,91.98,96.08,88.48,advanced playmaker,{"advanced playmaker":92}
Mohammed Kudus,13200568,26.49,64.18,6.39,10.31,10.17,57.74,75.09,98.55,,{}
Heorhii Sudakov,71108249,64.88,28.17,21.78,27.75,74.25,76.31,69.82,87.13,,{}
Mohamed Chawki,2000047315,41.23,69.96,33.3,23.09,82.14,75.65,54.76,76.73,,{}
Antony,19338230,86.47,64.18,19.78,2.94,28.59,89.93,96.78,84.19,advanced playmaker,{"advanced playmaker":90}
Jakub Kiwior,96102946,9.28,38.15,76.63,91.37,85.49,33.07,36.24,42.77,,{}
Tanguy Nianzou,49048365,20.52,38.15,96.41,98.27,44.03,9.84,4.34,56.67,,{}
Dayot Upamecano,16182894,11.8,38.15,82.88,92.68,68.47,16.84,10.35,10.91,,{}
Filippo Terracciano,43500821,61.38,95.34,87.73,82.7,87.13,58.68,66.14,37.64,,{}
Alexis Mac Allister,14157184,34.98,44.22,9.61,12.17,9.28,37.73,64.65,94.45,,{}
Dani Olmo,24048100,90.44,7,33.72,12.69,94.64,97.62,96.5,69.31,,{}
Ibrahima Bamba,2000052247,25.19,44.22,81.53,83.49,88.85,23.65,34.61,42.77,,{}
Brahim Díaz,28106999,29.52,7,11.19,21.41,41.09,48.41,79.43,87.13,,{}
Roger Ibañez,19337893,6.48,3.96,94.68,97.71,67.12,19.03,12.27,16.98,,{}
Samuele Ricci,43390774,40.11,32.84,33.96,41.46,72.2,80.5,78.73,74.21,advanced playmaker,{"advanced playmaker":78}
Umut Tohumcu,2000069208,85.63,12.27,69.92,49.81,95.85,89.93,95.24,63.39,,{}
Pau Torres,67217522,11.33,5.27,74.95,92.02,65.49,10.73,8.86,16.98,,{}
James Garner,28115831,54.43,79.29,59.38,40.16,92.54,78.78,75.09,47.9,,{}
Javlon Clement-Peter,2002075095,56.81,75.09,99.86,99.67,99.95,29.94,38.53,71.83,,{}
Alan Varela,14241914,81.02,79.29,34.61,54.8,95.2,94.5,87.59,47.9,,{}
Thiago Almada,14172522,43.84,28.17,11.99,14.23,10.68,47.67,80.13,90.25,,{}
Kang-In Lee,67260506,79.52,12.27,12.36,0.23,24.3,97.29,97.01,88.48,advanced playmaker,{"advanced playmaker":94}
Eric García,28116427,13.01,18.98,83.4,91.93,61.29,13.11,16.84,24.21,,{}
Facundo Torres,78088646,36.33,64.18,9.84,33.16,15.16,44.92,66.14,71.83,,{}
Luis Díaz,76049803,73.79,82.93,23.37,7.6,40.35,28.22,59.19,76.73,,{}
Rúben Neves,55070307,72.81,75.09,29.8,32.7,85.59,54.57,87.59,31.67,,{}
Nicolò Rovella,43372892,50.09,15.95,36.85,31.76,98.32,82.46,54.76,60.21,,{}
Oihan Sancet,67260204,64.88,50.7,46.88,30.64,18.52,55.27,62.78,85.96,,{}
Charles De Ketelaere,18110528,41.23,64.18,22.9,15.16,25.51,77.1,72.95,95.24,advanced playmaker,{"advanced playmaker":82}
Federico Silva,2002074618,95.15,88.81,18.8,0.42,20.34,95.57,98.79,90.25,advanced playmaker,{"advanced playmaker":95}
Curtis Jones,28115788,96.5,32.84,30.64,3.87,39.23,64.04,83.77,79.52,,{}
Kauê,2002120044,20.9,32.84,97.15,96.97,95.1,34.42,38.53,71.83,,{}
Trevoh Chalobah,28103591,10.4,57.65,89.79,98.09,49.07,1.63,4.34,2.05,,{}
Joris Chotard,49048599,52.71,57.65,35.77,26.77,42.44,88.62,78.03,92.82,advanced playmaker,{"advanced playmaker":86}
Victor Eletu,2000136420,67.3,32.84,45.2,56.3,88.48,70.48,40.21,52.52,,{}
Ivan Ilić,62201068,45.24,69.96,53.5,35.4,90.35,83.77,81.06,74.21,advanced playmaker,{"advanced playmaker":80}
Samuel Iling,2000034525,82.7,38.15,24.35,2.47,23.79,96.41,91.09,97.34,advanced playmaker,{"advanced playmaker":95}
Yaser Asprilla,2000053239,45.71,12.27,19.36,20.29,15.25,81.39,78.03,81.95,advanced playmaker,{"advanced playmaker":80}
Rafael Luís,83297596,82.28,28.17,59.1,39.65,64.79,92.35,82.98,79.52,advanced playmaker,{"advanced playmaker":85}
Perr Schuurs,37062161,25.84,57.65,97.9,99.58,96.13,20.71,10.35,24.21,,{}
David Carmo,83111598,16.79,2.71,71.83,91,52.66,13.11,14.23,31.67,,{}
Davide Frattesi,43272557,86.66,15.95,80.97,66.46,58.82,26.12,29.76,42.77,,{}
Emile Smith Rowe,28109599,92.86,92.63,19.36,3.4,61.29,79.9,89.93,47.9,,{}
Sivert Mannsverk,53159880,50.65,23.27,43.75,26.45,28.36,51.91,62.78,37.64,,{}
Florentino Luís,83169817,49.35,32.84,48.79,61.33,93.33,59.75,45.8,16.98,,{}
Williot Swedberg,2000008568,29.01,69.96,6.48,15.67,4.52,40.72,68.8,99.58,,{}
Jakob Napoleon Romsaas,2000072641,59.33,82.93,15.67,0.7,44.03,90.67,93.75,93.7,advanced playmaker,{"advanced playmaker":93}
Flavius Daniliuc,91172522,65.95,57.65,98.83,85.03,72.2,40.72,40.21,24.21,,{}
Sofiane Diop,49037827,94.87,69.96,25.93,3.31,33.63,62.17,78.73,69.31,,{}
Lucas Paquetá,19226741,91.65,50.7,26.82,23.55,73.93,55.27,50.75,16.98,,{}
Josip Stanišić,91190673,29.01,79.29,91.7,89.6,76.73,33.07,23.46,24.21,,{}
Giannis Konstantelias,36159280,56.81,50.7,15.67,1.82,31.95,95.57,94.78,92.82,advanced playmaker,{"advanced playmaker":94}
Mads Bidstrup,27139716,85.12,64.18,45.2,28.13,84.28,91.28,85.87,71.83,advanced playmaker,{"advanced playmaker":83}
Shea Charles,2000027898,50.09,75.09,98.37,89.32,59.28,71.92,62.78,52.52,,{}
Dani Vivian,67256618,21.18,92.63,83.07,96.46,66.51,15.9,18.75,16.98,,{}
Amadou Onana,91207274,31.16,75.09,74.58,65.39,89.23,84.61,94.78,60.21,,{}
Mohamed Camara,13193983,77.94,15.95,32.65,36.66,49.58,78.78,81.06,81.95,advanced playmaker,{"advanced playmaker":81}
Patrick Wimmer,16253898,93.56,57.65,69.92,19.73,44.54,98.46,95.24,60.21,,{}
Kiernan Dewsbury-Hall,28106342,95.76,12.27,39.88,19.08,84.89,57.74,59.19,24.21,,{}
Morten Frendrup,27132198,51.73,44.22,20.2,38.62,54.52,64.04,71.36,60.21,,{}
Tijjani Reijnders,37071126,86.19,18.98,64.79,67.86,76.12,68.8,40.21,24.21,,{}
Martín Zubimendi,67246385,45.71,38.15,29.38,37.27,92.21,49.07,59.19,37.64,,{}
André,19375640,46.97,64.18,33.16,66,89.13,92.68,75.93,63.39,,{}
Odilon Kossounou,93127195,32.28,15.95,96.22,97.9,63.9,41.42,31.06,31.67,,{}
Maxence Lacroix,49038271,13.67,75.09,90.3,95.2,28.73,20.71,25.47,37.64,,{}
Mandela Keita,18116036,49.35,23.27,58.91,46.78,33.02,64.04,64.65,88.48,,{}
Lewis Ferguson,61078132,57.84,92.63,65.9,64.83,79.06,80.5,91.74,91.42,advanced playmaker,{"advanced playmaker":88}
Lucas Assadi,2000060949,92.86,86.05,47.01,11.89,60.87,67.21,48.69,69.31,,{}
Nikita Petrov,2002102627,14.69,2.71,94.26,96.6,67.82,39.09,28.54,56.67,,{}
Chadi Riad,2000058232,17.35,69.96,97.99,99.11,50.14,6.81,20.66,5.83,,{}
Jakub Moder,96086697,40.11,38.15,60.07,45.38,79.76,68.8,60.4,69.31,,{}
Manuel Locatelli,43167354,30.36,12.27,13.39,39.41,96.32,46.27,47.71,60.21,,{}
Bilal El Khannouss,2000055184,70.71,18.98,10.21,7.51,24.16,85.17,88.85,90.25,advanced playmaker,{"advanced playmaker":88}
Leandro Barreiro,91187556,92.3,32.84,89.51,83.26,89.69,85.63,57.65,16.98,deep playmaker,{"deep playmaker":86}
Sebastian Szymański,96088503,55.46,23.27,14.27,10.03,26.82,82.93,80.13,63.39,,{}
Evan N'Dicka,48032198,20.1,69.96,84.1,87.45,73.55,27.01,32.7,52.52,,{}
Giovanni Reyna,72051281,69.31,86.05,31.48,13.99,72.95,52.61,62.78,76.73,,{}
Marco Kana,18107452,44.73,69.96,77.85,76.45,95.43,49.07,57.65,24.21,,{}
Carlos Salazar,2002073199,8.21,64.18,86.52,95.1,47.15,6.25,10.35,56.67,,{}
Ryan Gravenberch,37071197,61.01,69.96,60.26,8.26,32.6,66.51,64.65,84.19,,{}
Pascal Struijk,37059452,28.26,94.31,95.06,94.08,56.39,23.65,36.24,5.83,,{}
Ismaël Koné,2000121309,32.28,32.84,59.89,46.41,70.52,55.27,57.65,37.64,,{}
Kiliann Sildillia,49048381,91.23,64.18,94.82,19.36,94.36,78.78,64.65,66.51,,{}
Alessandro Granelli,2002075285,68.61,18.98,43.42,16.65,29.71,86.15,82.09,98.55,advanced playmaker,{"advanced playmaker":89}
Xaver Schlager,16147660,48.27,0.47,25.61,40.63,62.03,51.21,27.15,5.83,,{}
Brennan Johnson,29189400,61.38,8.96,50.65,22.25,27.75,78.78,73.74,71.83,advanced playmaker,{"advanced playmaker":75}
Serhiy Kryzhanivskyi,2002133373,34.98,23.27,55.5,71.74,90.21,61.33,64.65,16.98,,{}
Angel Gomes,28109888,81.95,44.22,36.1,10.87,30.04,46.92,76.73,76.73,,{}
Pablo Maia,19375656,30.64,44.22,51.96,64.13,89.55,61.33,53.03,31.67,,{}
Amad Diallo,43425040,99.58,82.93,35.49,0.14,24.58,89.46,89.93,66.51,,{}
Dwight McNeil,28110488,99.44,28.17,57.79,5.88,82.37,52.61,70.66,69.31,,{}
Leonardo,2002119923,33.82,57.65,33.72,74.21,86.29,42.26,34.61,16.98,,{}
Youssouf Fofana,49045776,73.79,50.7,32.23,41.32,96.78,59.75,75.93,31.67,,{}
Franco González,2000128319,73.79,28.17,28.22,10.49,19.17,56.53,69.82,52.52,,{}
Leo Sauer,2000192797,84.1,44.22,38.15,5.46,21.04,91.56,89.93,97.95,advanced playmaker,{"advanced playmaker":93}
Filip Krastev,22073681,94.45,28.17,55.74,14.6,38.81,98.93,99.02,79.52,advanced playmaker,{"advanced playmaker":92}
Ardon Jashari,84161856,62.92,12.27,55.32,52.99,89.55,49.72,68.8,31.67,,{}
Alberto Moleiro,2000028320,90.44,86.05,27.99,5.88,15.02,75.65,80.13,79.52,advanced playmaker,{"advanced playmaker":78}
Luís Cláudio,2002119920,9.84,57.65,53.87,82.46,82.37,13.11,16.84,16.98,,{}
Hákon Arnar Haraldsson,39060464,86.99,69.96,41.74,11.43,77.01,96.64,93.75,84.19,advanced playmaker,{"advanced playmaker":92}
Andy Diouf,49062699,89.18,38.15,47.53,35.49,35.12,86.15,91.09,99.95,advanced playmaker,{"advanced playmaker":92}
Leonardo Balerdi,14196664,12.55,82.93,69.31,91.28,58.26,15.02,21.83,10.91,,{}
Archie Gray,2000182795,76.68,15.95,37.5,18.14,44.03,94.96,59.19,81.95,,{}
Ibrahim Mohammed,2000034631,19.26,38.15,92.35,95.38,83.54,14.37,16.84,31.67,,{}
Mateus Fernandes,83320124,96.6,23.27,35.12,34.38,25.89,85.63,83.77,90.25,advanced playmaker,{"advanced playmaker":87}
Exequiel Palacios,14110846,98.27,7,78.82,74.86,71.64,69.68,67.58,24.21,,{}
Salis Abdul Samed,49060803,33.63,28.17,29.94,43.8,69.17,43.47,44.12,31.67,,{}
Rodrigo Riquelme,67259880,86.47,88.81,12.78,0.98,37.92,90.95,96.78,76.73,advanced playmaker,{"advanced playmaker":88}
Jordan Teze,37058008,48.27,57.65,95.57,85.31,80.83,41.42,23.46,47.9,,{}
Facundo Buonanotte,2000051578,98.74,64.18,32.65,1.54,21.32,69.68,85.87,42.77,,{}
Colin Penot,2002123982,51.73,64.18,99.3,92.77,95.57,46.27,44.12,31.67,,{}
Douglas Luiz,19302456,80.69,50.7,21.78,19.64,86.29,74.77,88.85,60.21,,{}
Murillo,2000123482,29.38,32.84,97.25,97.99,79.76,22.99,38.53,37.64,,{}
Mads Møller,2002072806,59.33,88.81,99.11,88.57,96.88,69.68,48.69,16.98,,{}
Eden Kartsev,42074464,71.83,92.63,45.66,48.65,84.38,81.39,64.65,42.77,,{}
Ethan Ampadu,29175064,34.56,75.09,69.08,81.58,69.17,44.03,62.78,47.9,,{}
Denner,2002098704,16.56,69.96,76.96,94.26,68.24,21.18,34.61,31.67,,{}
Quilindschy Hartman,37071180,52.99,90.81,98.93,94.59,98.74,50.47,71.36,2.05,,{}
José Marsà,67279755,27.05,50.7,84.56,85.68,91.93,44.92,21.83,47.9,,{}
Rico Lewis,2000098727,48.27,75.09,95.29,78.96,99.02,44.92,62.78,24.21,,{}
Marcos Antonio,19337942,58.26,38.15,23.97,49.49,84.47,73.6,62.78,71.83,,{}
Mateusz Łęgowski,96159935,67.3,28.17,49.95,50.05,65.72,67.21,72.95,66.51,,{}
Rodri,67281485,89.55,50.7,52.24,33.44,69.45,54.57,59.19,56.67,,{}
Maxence Caqueret,48044737,91.46,12.27,61.19,55.74,82.65,65.21,70.66,31.67,,{}
João Veloso,2000131486,67.91,44.22,72.9,44.45,48.88,67.86,49.77,60.21,,{}
Raphael Onyedika,27162493,72.43,23.27,68.19,63.01,89.97,97.29,85.87,37.64,,{}
Ferdi Kadıoğlu,37060600,59.33,18.98,97.06,69.26,93.24,93.38,98.23,31.67,,{}
Chris Richards,72051563,25.84,32.84,80.6,76.91,25.19,29.48,31.06,31.67,,{}
Kevin Danso,91144914,15.07,50.7,91.46,94.87,56.81,5.32,20.66,16.98,,{}
Ladislav Krejčí,25055083,18.42,23.27,50.65,83.63,62.87,9.84,18.75,31.67,,{}
Mattias Svanberg,93065023,66.7,50.7,51.68,25.47,13.71,51.21,69.82,37.64,,{}
Danilho Doekhi,37051440,15.63,82.93,82.32,94.17,68.66,18.33,10.35,37.64,,{}
Ismaël Bennacer,48032338,53.45,5.27,50.28,45.71,26.4,28.92,45.8,10.91,,{}
Konstantinos Mavropanos,36116501,17.07,57.65,66.74,78.4,64.46,7.56,12.27,16.98,,{}
Aimar,67276375,94.45,57.65,78.54,41.18,85.4,68.8,56.2,66.51,,{}
André Almeida,83152928,65.95,5.27,41.74,41.56,86.66,41.42,56.2,42.77,,{}
Yunus Akgün,70110533,76.68,64.18,44.92,4.99,33.63,73.04,79.43,66.51,,{}
Cole Palmer,28120042,95.15,90.81,30.13,4.06,22.39,99.02,96.78,99.11,advanced playmaker,{"advanced playmaker":98}
Dinis Telehovschi,2000288721,87.97,69.96,62.36,38.95,96.32,67.21,57.65,74.21,,{}
Lars Lukas Mai,91172528,8.58,5.27,89.93,96.88,20.71,7.28,14.23,37.64,,{}
Ethan Butera,2000127875,13.01,64.18,64.09,82.88,60.77,6.81,4.34,10.91,,{}
Daniel Ballard,28110835,14.97,97.95,92.49,97.15,75.23,29.48,20.66,24.21,,{}
Manu Koné,49047182,41,50.7,61.94,48.93,46.36,74.77,47.71,79.52,,{}
Jan Paul van Hecke,37076335,16,90.81,82.79,89.97,67.58,9,10.35,16.98,,{}
Gustaf Lagerbielke,93084711,13.99,32.84,89.09,96.22,35.35,8.3,10.35,31.67,,{}
Ladislav Mácha,2002103109,26.77,82.93,94.45,86.43,98.32,53.31,32.7,56.67,,{}
