name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,passesPercent,badges,ratingScores
Sam Watson,2002072967,84.1,15.95,49.16,59.7,85.87,62.17,55.55,,{}
Helmute,2002120183,61.75,38.15,14.13,8.35,42.44,86.15,36.99,,{}
Marc Casadó,2000058198,42.4,2.71,42.77,71.36,36.33,13.11,89.74,,{}
Kobbie Mainoo,2000123586,75.84,12.27,84.84,67.58,70.66,49.07,55.55,,{}
João Pedro,2002119993,89.83,86.05,20.94,4.9,94.96,91.79,45.76,,{}
Pedro Ferreira,55082151,1.49,79.29,1.4,52.99,1.45,1.63,1.45,,{}
Christophe Mougin,2002072259,84.56,64.18,78.4,49.81,47.85,74.11,22.67,,{}
Nikos Michelis,36146763,15.3,38.15,80.13,82.6,9.28,4.38,29.38,,{}
Christian Rasmussen,27148085,28.03,57.65,7.6,13.48,5.92,34.42,29.38,,{}
Williams Alarcón,75047899,81.3,32.84,79.52,75.7,91.09,45.76,75.7,anchor,{"anchor":81}
Chrislain Matsima,49048468,13.99,23.27,94.36,93.24,68.66,17.44,83.96,,{}
Facundo Farías,14240979,34.56,57.65,9.19,8.16,21.04,48.41,22.67,,{}
Pau Prim,2000219666,73.23,32.84,65.9,73.79,53.92,37.73,45.76,,{}
Da Silva,2002120081,4.66,90.81,89.37,97.25,92.54,13.85,97.99,anchor,{"anchor":96}
Alessandro Bianco,43458331,97.06,28.17,89.65,79.06,80.55,61.33,45.76,,{}
Edgar Pujol,2000143033,22.81,96.83,91.7,92.96,29.1,24.21,65.53,,{}
João Paulo,83257700,1.49,99.02,1.4,52.99,1.45,1.63,0.61,,{}
Raphael,2002121482,39.55,23.27,60.4,68.33,95.76,65.81,65.53,,{}
Gonzalo González,2000037510,21.88,12.27,99.67,99.95,62.87,12.36,89.74,,{}
Rodrigo Núñez,2002074639,44.96,57.65,48.55,23.18,94.82,87.5,75.7,,{}
Kai Pluim,2002072752,11.05,1.73,4.48,8.82,4.24,19.03,6.25,,{}
Cisse Sandra,18115747,27.24,75.09,35.03,42.4,14.41,66.51,17.3,,{}
Fabian Kunze,91182934,63.9,5.27,74.58,75.51,14.04,40.16,29.38,,{}
Jonás Fernández,2000292745,36.47,0.47,11.75,18.24,41.37,75.65,45.76,,{}
Robertas Juska,2002102427,37.64,64.18,38.62,47.62,27.94,26.12,13.15,,{}
Kauan Stabelini,2000264290,29.38,86.05,40.25,60.96,90.67,83.3,89.74,,{}
Fabrício,2002152720,31.16,95.34,10.68,28.54,9.56,86.15,22.67,,{}
Marcus,2002121522,66.7,82.93,99.95,90.16,99.21,73.04,45.76,deep playmaker,{"deep playmaker":87}
Gaspar,67248339,59.33,50.7,34.38,6.02,29.71,82.93,29.38,,{}
Liam Gibbs,29233183,99.77,32.84,88.9,57.88,66.18,38.43,45.76,,{}
Okba Mihoubi,2002154674,68.61,79.29,73.09,65.58,50.14,35.07,55.55,,{}
Wimilio Jochemsen,2002155026,80.13,7,9.98,14.88,8.91,27.01,45.76,,{}
Armando Obispo,37056071,9.65,15.95,78.26,92.3,76.12,4.38,99.72,anchor,{"anchor":89}
Marc Ortiz,2000068017,26.77,97.34,17.4,18,26.82,62.17,29.38,,{}
Arijon Ibrahimović,2000114473,91.65,64.18,48.97,7.32,44.78,55.27,13.15,,{}
Mathijs Tielemans,37078347,82.7,75.09,42.12,34.47,20.52,51.91,45.76,,{}
Aleksandar Pavlović,2000171034,63.29,79.29,47.67,48.18,17.72,37.08,55.55,,{}
Gabriel Silva,19360961,27.52,69.96,13.99,1.63,19.59,99.86,22.67,,{}
Jean N'Guessan,12081415,85.91,50.7,53.64,21.18,97.81,79.9,36.99,,{}
Agustín Grillo,2000037068,95.15,12.27,60.26,36.43,61.01,76.31,36.99,,{}
Maximiliano González,2000044155,92.07,82.93,62.36,72.2,65.49,58.26,75.7,,{}
Glauco,2002074152,38.85,86.05,92.68,59.33,99.39,46.27,75.7,,{}
Zidan Sertdemir,2000016037,13.43,15.95,8.35,61.8,11.66,51.21,7.56,,{}
Anouar Ait El Hadj,18113291,1.49,44.22,1.4,52.99,1.45,1.63,3.03,,{}
Jacopo Gramaccia,2002123801,27.24,44.22,27.99,65.16,32.84,28.92,89.74,,{}
Mathias De Wolf,18107448,1.49,86.05,1.4,52.99,1.45,1.63,2.01,,{}
Tidjane Nhaga,2002154514,57.84,32.84,48.79,65.02,74.58,64.04,75.7,,{}
Ignacio Durá,2002125841,9.42,7,76.03,87.83,53.92,19.64,89.74,,{}
Ádám Gyurján,2002171940,50.65,64.18,74.86,69.73,62.03,49.07,55.55,,{}
Loïc Rubio,2002072380,64.88,28.17,51.31,10.96,86.89,59.14,22.67,,{}
Wouter Goes,2000014086,22.81,8.96,73.46,86.61,48.32,25.14,89.74,,{}
Stanley Ndaba,2002145204,94.17,38.15,43.75,41,35.12,65.81,55.55,,{}
Jean-Baptiste Gorby,49053828,38.01,23.27,60.63,58.35,56.39,71.92,75.7,,{}
Miguel Nóbrega,83169857,34.1,69.96,87.64,90.9,77.94,27.01,83.96,anchor,{"anchor":84}
Mamadou Sarr,2000107103,10.96,50.7,88.11,90.35,60.54,6.81,65.53,,{}
Franco Tongya,43426015,85.12,88.81,48.04,10.68,46.04,81.76,17.3,,{}
Nnamdi Ofoborh,28110726,5.55,75.09,4.24,57.6,4.06,11.75,4.85,,{}
Matheus França,2000090823,73.79,57.65,77.52,76.54,80.27,99.35,45.76,deep playmaker,{"deep playmaker":85}
Damienus Reverson,2000040427,28.5,69.96,7.14,19.92,6.95,30.46,55.55,,{}
Jonathan Serrano,2002145346,16.37,38.15,51.54,71.22,37.36,4.38,29.38,,{}
Thomas Basila,48031575,5.41,94.31,4.8,48.41,4.8,11.33,4.85,,{}
Abdul Sillah,2002073385,18.42,57.65,91.32,93.05,57.6,10.73,97.99,,{}
André Gomes,2000199213,57.84,23.27,15.11,18.42,37.92,66.51,36.99,,{}
Jonas Oehmichen,2000194639,40.63,90.81,37.5,21.97,9.47,73.6,22.67,,{}
Sergio Ortíz,2000160579,35.35,8.96,30.83,38.11,65.49,55.97,83.96,,{}
Lucio Falasco,2000081335,79.52,57.65,39.88,23.93,88.85,83.3,45.76,,{}
Thuto Mojanaga,2000314468,65.67,86.05,74.58,81.76,47.99,70.48,65.53,,{}
Michael Dokunmu,2000201035,46.27,23.27,75.7,36.8,49.58,83.77,36.99,,{}
Nikolas Nartey,27135742,26.07,82.93,16.84,45.1,30.5,33.77,6.25,,{}
Didier Van de Voorde,2002144216,70.71,38.15,23.97,11.15,48.69,96.97,36.99,,{}
José Antonio Diz,2002101537,67.91,50.7,46.55,20.52,77.75,85.17,55.55,,{}
Eduardo Santos,2002123590,48.88,97.95,27.38,24.02,22.85,39.6,17.3,,{}
Dirk Proper,37072834,71.83,7,49.63,36.05,66.51,58.68,75.7,,{}
Antoine Colassin,18106073,1.49,82.93,1.4,52.99,1.45,1.63,0.19,,{}
Ignacio Gutiérrez,14201746,95.48,12.27,45.94,68.56,67.12,17.96,89.74,,{}
Stefan Vojinović,2002075662,68.61,18.98,33.3,18,97.99,98.37,55.55,,{}
Joaquín Moreno,2002125976,41.98,69.96,39.88,63.25,74.86,43,89.74,,{}
Christian Sinisgallo,2002133565,84.1,57.65,33.96,13.67,59.56,97.95,29.38,,{}
Davide Corelli,2002135437,54.99,50.7,28.22,13.39,59.28,96.18,22.67,,{}
Max Geschwill,91190724,62.22,44.22,97.34,80.74,49.07,22.48,75.7,,{}
Adriano Yonezawa,2002119874,38.48,88.81,86.99,40.53,99.77,96.64,36.99,,{}
Ezequiel Fernández,14247304,52.38,38.15,23.65,37.92,65.86,90.39,75.7,,{}
Yeremay Alonso,2002135528,17.77,75.09,62.83,90.76,81.3,15.02,99.72,anchor,{"anchor":91}
Markus Gaidies,2002143915,74.95,64.18,95.2,80.27,43.28,39.09,45.76,,{}
Enzo Barrenechea,14217325,41.98,18.98,64.79,68.7,57.79,43,75.7,,{}
Thierry Nazinho,2002075252,20.2,23.27,28.4,9.93,11.89,50.47,17.3,,{}
Aleix Garrido,2000141739,90.44,15.95,56.81,40.44,62.03,29.94,36.99,,{}
Syb van Ottele,37072832,19.12,12.27,64.46,79.15,60.35,14.37,94.4,,{}
Jack Hinshelwood,2000124287,95.76,64.18,94.17,61.89,56.39,68.8,29.38,,{}
Mario Gila,67277455,40.63,69.96,98.55,91.09,86.89,24.67,75.7,anchor,{"anchor":85}
Edouard Michut,49060919,86.99,57.65,32.42,30.18,15.81,32.04,45.76,,{}
Dudu,2000218052,68.61,3.96,21.18,13.85,40.81,48.41,45.76,,{}
Alberto Quintana,67280840,64.88,18.98,67.91,63.39,92.68,17.96,65.53,,{}
Marco Bertini,43424638,47.67,57.65,54.94,33.86,54.99,57.14,45.76,,{}
Ignacio Miramón,14254707,62.92,38.15,43.75,60.96,67.12,69.68,65.53,,{}
Achille Decoster,2002144217,25.56,44.22,89.65,98.37,13.39,38.43,22.67,,{}
Kamari Doyle,2000105661,50.09,79.29,68.19,57.79,28.92,58.26,29.38,,{}
Cleider Reinoso,2002072778,84.1,32.84,72.15,68.8,68.05,22.48,45.76,,{}
Luciano Ferreyra,14227040,96.32,18.98,28.5,3.68,83.72,88.76,22.67,,{}
Leonardo Rodriguez,2002074586,48.88,57.65,35.49,9.56,55.55,71.32,17.3,,{}
Tyler Johnson,2002125819,64.32,28.17,32.09,26.07,15.81,38.43,45.76,,{}
Bastien Meupiyou,2000183492,27.8,57.65,96.69,90.25,90.67,27.57,94.4,anchor,{"anchor":92}
Gonzalo Ruiz,2002127496,75.33,94.31,31.86,28.03,97.29,72.29,75.7,,{}
Mauro Carrizo,2000260155,70.71,28.17,25.33,49.11,87.83,95.8,89.74,,{}
Guilherme Biro,2000073857,72.43,23.27,32.09,10.12,26.82,61.33,17.3,,{}
Andrés Godfrey,2000296179,93.98,44.22,80.97,49.95,97.43,77.89,65.53,,{}
Chemsdine Talbi,2000103798,24.16,82.93,5.74,22.9,7.32,57.74,6.25,,{}
Mattia Pilenga,2002073450,59.33,50.7,37.87,22.39,94.45,82.93,55.55,,{}
Cobel Sow,2000301158,87.36,69.96,46.13,18.56,55.22,51.21,10.35,,{}
Bruno Iglesias,2000052096,32.65,7,20.2,4.62,33.02,53.31,17.3,,{}
Javi Llabrés,2000197966,54.99,64.18,31.3,11.99,19.87,30.46,13.15,,{}
Felipe Rueda,2002136215,61.38,64.18,96.32,95.48,52.05,41.42,55.55,,{}
Marcos Olguín,2000079313,33.26,57.65,58.07,74.11,66.18,49.72,75.7,,{}
Aritz Bilbao,2002134608,98.13,90.81,71.32,15.25,71.36,95.8,10.35,destroyer,{"destroyer":87}
Paulo Vitor,2000166137,11.33,69.96,86.29,93.61,61.15,20.15,97.99,,{}
Kilian Sauck,2000259413,51.73,12.27,22.25,12.55,18.94,77.89,22.67,,{}
Thomas van Bommel,37084671,3.78,79.29,6.95,80.46,4.99,6.81,5.46,,{}
Pablo Arana,2002072492,62.92,69.96,59.56,56.3,60.12,61.33,45.76,,{}
Ney,2002119857,23.69,2.71,19.78,26.35,16.79,64.74,10.35,,{}
Jack Fletcher,2000280809,91.88,15.95,50.42,38.62,26.4,62.73,17.3,,{}
Kévin Mouanga,49053842,36.94,12.27,46.32,55.41,13.11,20.15,45.76,,{}
Lucas Barros,2002122836,45.71,75.09,52.43,13.99,24.95,86.66,6.9,,{}
Danilo Veiga,83261126,44.73,82.93,92.58,81.95,58.44,25.56,75.7,,{}
Douglas Manaças,2002142878,42.4,12.27,76.82,68.98,44.03,22.99,45.76,,{}
Kenneth Schmidt,91208024,72.81,90.81,99.58,88.48,94.26,21.18,83.96,destroyer;anchor,{"destroyer":88;"anchor":89}
Hugo,2002132656,27.66,57.65,35.49,77.01,74.58,22.01,89.74,anchor,{"anchor":80}
Jacopo Fazzini,43591640,56.3,12.27,23.37,27.57,12.22,67.86,65.53,,{}
Mauro,2002074139,6.76,69.96,94.68,96.46,80.46,23.65,89.74,anchor,{"anchor":89}
Urko González de Zárate,2000058330,22.81,38.15,71.97,83.72,54.52,28.22,83.96,,{}
Noam Mayoka-Tika,2000102848,4.85,92.63,10.59,55.83,6.3,28.92,6.25,,{}
Leonardo Mendicino,2000184409,69.31,50.7,81.86,77.19,53.4,36.47,83.96,,{}
Luca Raimund,2000180828,96.08,57.65,80.97,33.26,61.71,65.53,13.15,,{}
Famana Quizera,83209467,94.45,50.7,65.35,22.71,54.52,46.92,17.3,,{}
Jean-Paul Gil,2002124294,33.26,5.27,80.6,72.34,96.5,47.67,75.7,anchor,{"anchor":82}
Baptiste Roux,49046654,92.58,28.17,86.52,76.63,47.39,37.08,65.53,,{}
Steffen Aulich,2000201077,51.73,1.03,33.72,23.27,11.15,81.39,13.15,,{}
Kuryu Matsuki,2000239358,57.84,57.65,56.2,44.45,42.44,50.47,55.55,,{}
Cas Odenthal,37064719,34.56,12.27,69.45,75.61,34.33,26.12,45.76,,{}
Ekaitz Esnaola,2002124667,77.94,79.29,31.67,28.87,60.54,95.57,55.55,,{}
Lucas Albano,2002105117,77.15,57.65,12.27,24.16,26.03,53.31,45.76,,{}
Christoph Pfister,2002075164,36.47,69.96,29.94,16.74,25.7,41.42,29.38,,{}
Arnau Solà,67296656,63.62,57.65,95.66,74.02,98.18,44.92,65.53,,{}
Pablo Roa,2002102605,55.46,2.71,47.67,76.17,36.33,26.59,89.74,,{}
Oliver Sørensen,27139791,85.91,57.65,76.63,73.93,23.79,24.21,55.55,,{}
Marc Bombardó,2000294793,11.8,50.7,94.92,95.66,77.01,12.36,89.74,anchor,{"anchor":87}
Javi Navarro,2000034336,36.01,7,27.01,43.14,69.17,68.8,75.7,,{}
Yani Quintero,76062849,49.72,64.18,58.4,63.25,47.53,53.96,75.7,,{}
Gino Infantino,14229541,70.71,5.27,27.01,37.55,13.85,54.57,29.38,,{}
Paolo Alarcón,2002143198,93.56,8.96,14.79,2.29,43.28,28.22,13.15,,{}
Dave Kwakman,2000014557,74.39,86.05,65.11,70.29,68.94,48.41,83.96,,{}
Enoch Mastoras,2000126653,29.01,44.22,76.35,78.59,87.31,63.25,83.96,anchor,{"anchor":83}
Facundo Palermo,2002074610,97.95,64.18,73.46,35.87,90.44,19.64,10.35,,{}
Bahia,2000192476,67.91,23.27,58.63,80.92,93.7,78.78,83.96,deep playmaker;anchor,{"deep playmaker":84;"anchor":86}
Giovanni Fabbian,43500245,91.37,96.22,85.96,48.55,27.94,74.11,29.38,destroyer,{"destroyer":91}
Pablo Correa,2002127286,98.93,12.27,98.46,59.7,96.6,89.46,17.3,,{}
David Kruse,27162045,1.49,97.34,1.4,52.99,1.45,1.63,2.01,,{}
Abou Ba,48031488,1.49,98.65,1.4,52.99,1.45,1.63,2.01,,{}
Pedro Santos,83297599,51.12,50.7,28.68,13.57,8.12,46.92,10.35,,{}
Ilyes Benlebsir,2000104918,89.18,23.27,63.53,25.7,44.03,49.72,10.35,,{}
Ben Phillips,2000040375,24.02,79.29,88.67,79.8,46.92,13.11,13.15,,{}
Nick Constancia,2002073392,89.18,86.05,51.07,31.2,46.6,34.42,65.53,,{}
Alex Luna,14236686,53.45,88.81,22.06,12.08,34.33,62.17,45.76,,{}
Tiago Ribeiro,83228794,69.82,69.96,51.31,58.54,27.05,30.46,83.96,,{}
Eduardo Lemos,2002155977,77.94,50.7,26.4,15.07,28.73,78.78,36.99,,{}
Pablo Castillo,2000063313,79.15,15.95,50.93,49.02,81.67,61.33,55.55,,{}
Lukáš Vorlický,43474384,91.23,86.05,67.07,30.41,13.25,45.76,45.76,,{}
Rachid El Amrani,2002124008,85.12,44.22,11.47,9.19,22.85,68.8,29.38,,{}
Jandro Orellana,219032,32.65,57.65,34.38,17.49,91.28,96.97,45.76,,{}
Mateo Naranjo,2002074603,11.33,57.65,91.93,93.42,79.76,4.06,83.96,anchor,{"anchor":86}
Wilgot Marshage,93151749,78.78,75.09,81.76,74.67,23.09,35.59,45.76,destroyer,{"destroyer":79}
Mika Godts,2000102845,36.94,82.93,23.83,20.06,13.71,79.9,22.67,,{}
João Dalla Corte,2000227264,33.26,82.93,52.57,67.49,88.06,67.21,83.96,,{}
Gonzalo Escudero,2000251840,4.99,88.81,61.94,89.69,91.79,11.75,97.99,anchor,{"anchor":93}
Kolja Oudenne,2000108787,96.08,57.65,29.38,3.08,52.43,80.5,22.67,,{}
Alan Kardec,2002131861,10.12,86.05,95.38,99.44,85.73,12.36,97.99,anchor,{"anchor":94}
Mateo Rodríguez,2002126875,59.33,44.22,27.24,11.61,14.55,64.04,10.35,,{}
Fodé Sylla,2000205287,50.09,44.22,61.19,70.43,34.65,51.91,83.96,,{}
Valdecir Burger,2002132025,77.15,57.65,17.4,26.59,93.89,79.9,75.7,,{}
Jabes Saralegui,2000096164,97.95,44.22,30.97,29.48,88.48,85.17,65.53,,{}
Dani Ramos,2002101757,13.01,44.22,69.68,66.93,12.69,7.28,13.15,,{}
Sebastián Sánchez,2000049548,32,57.65,11.01,36.52,50.56,98.55,45.76,,{}
Erwann Aubert,2002073857,71.83,38.15,35.91,41.65,45.71,36.47,65.53,,{}
Luciano Carmona,2002136185,70.71,44.22,79.24,73.55,72.53,70.48,55.55,deep playmaker,{"deep playmaker":72}
Lorenzo Amatucci,2000025303,42.4,44.22,36.99,58.63,74.77,33.77,75.7,,{}
Dani Pérez,2000161668,91.88,12.27,48.55,32.42,65.07,84.61,55.55,,{}
Fábio Baptista,83297511,48.6,75.09,95.94,72.62,42.44,44.92,55.55,,{}
Giovanni Leoni,2000259904,18.66,75.09,91.09,84.75,25.19,19.03,36.99,,{}
Francesco Furlan,2000165201,93.05,44.22,85.82,68.24,77.52,41.42,45.76,,{}
Bernardo Valim,2000218553,19.82,18.98,6.02,14.79,53.4,90.67,22.67,,{}
Santiago Ramos Mingo,14219093,7.32,97.34,70.15,98.83,24.16,9,36.99,,{}
Glen Sels,2002072751,17.49,75.09,7.42,64.41,6.48,20.15,7.56,,{}
Antonio Blanco,67256515,45.71,32.84,43.75,52.99,70.06,56.53,75.7,,{}
José Roberto,2002075433,32.93,32.84,65.9,60.63,82.84,23.65,65.53,,{}
João Assunção,2000013613,35.63,28.17,44.64,46.55,60.68,51.91,89.74,,{}
Marcelo Melo,2002142668,7.88,82.93,95.06,96.69,91.28,12.36,94.4,anchor,{"anchor":94}
Miguel Constantinescu,2000144742,93.8,92.63,20.43,5.08,23.79,93.38,17.3,,{}
Rodrigo Wilsmann,2002120085,62.64,64.18,35.21,16.04,36.94,99.35,17.3,,{}
Luciano Barrientos,2000312141,79.15,8.96,67.44,63.76,80.04,97.43,55.55,,{}
Giovanni Gambini,2002123861,29.24,23.27,75.14,85.12,66.74,55.97,83.96,,{}
Théo Mununga,2000307453,10.59,90.81,4.99,32.51,6.76,35.07,13.15,,{}
Vladimir Stojaković,2002124437,23.69,28.17,79.8,83.07,35.54,11.75,65.53,,{}
Leandro Mamut,14240632,88.29,7,39.13,8.44,22.39,51.21,13.15,,{}
Lucas Vankerkhoven,18114995,76.68,12.27,41.51,61.61,96.32,70.48,83.96,,{}
Matías Luján,2000095973,79.85,12.27,77.15,73.09,63.9,37.73,65.53,,{}
Arthur Piedfort,2000122317,1.49,98.65,1.4,52.99,1.45,1.63,2.52,,{}
Emanuel Barco,2002146700,97.34,64.18,70.94,32.79,59.28,96.97,29.38,,{}
Florian Schärtel,2002120401,26.07,86.05,19.78,28.78,23.27,94.03,65.53,,{}
Jamil Najjar,2000071245,24.63,32.84,84.38,93.8,59.56,9.84,89.74,,{}
Kevin López,2000112396,68.61,44.22,64.46,40.25,22.71,86.66,36.99,,{}
Tomás Benatti,2002120024,15.3,92.63,77.29,96.13,97.15,22.01,99.72,anchor,{"anchor":98}
João Vasconcelos,2000091868,42.4,69.96,12.17,13.76,15.81,44.92,65.53,,{}
Tim Lakies,2002073014,83.58,86.05,29.38,20.52,12.55,64.04,36.99,,{}
Agustín Rodríguez,2000042798,79.85,28.17,22.25,34,24.95,84.19,65.53,,{}
Finn Dicke,2000040338,70.2,57.65,72.15,65.81,37.92,38.43,55.55,,{}
Anderson,2002098449,34.98,3.96,68.05,77.29,53.4,12.36,65.53,,{}
Maxwell Woledzi,27160150,1.49,99.72,1.4,52.99,1.45,1.63,2.52,,{}
Moutir Chajia,18096854,7.6,97.95,5.36,16.56,7.14,36.01,3.64,,{}
Wilson Silvério,2002075143,86.19,44.22,39.13,36.66,56.81,79.48,75.7,,{}
Nuno Félix,2000039607,62.22,86.05,61.71,62.36,52.85,40.16,75.7,,{}
Elayis Tavşan,37065568,71.83,75.09,10.21,10.4,17.49,27.57,45.76,,{}
Costanzo Heredia,2000206126,23.13,79.29,83.91,85.77,71.18,11.75,55.55,,{}
Arlindo,2002121797,61.01,5.27,12.92,17.21,17.49,90.39,17.3,,{}
Gaizka Albóniga-Menor,2000150851,98.46,57.65,46.32,59.7,51.77,79.48,65.53,,{}
Diogo Henriques,2002101694,89.83,88.81,40.53,17.58,16.14,31.11,75.7,,{}
Tim Siersleben,91170080,19.4,69.96,81.95,93.98,21.78,26.12,89.74,,{}
Andrey,19399110,68.61,44.22,11.47,30.74,55.22,60.45,65.53,,{}
Luis López,2002074378,91.65,44.22,72.48,43.61,57.6,56.53,17.3,,{}
Axel Guerra,2000028232,90.44,95.34,48.04,18.7,92.21,93.38,13.15,,{}
Asier Santolaya,2000182743,77.15,12.27,55.18,55.55,38.25,42.26,55.55,,{}
Agustín Wierna,2000094965,42.91,82.93,15.53,28.96,13.01,47.67,45.76,,{}
Oliver Abildgaard,27093157,5.18,92.63,4.15,46.32,5.69,5.32,4.85,,{}
Gabriel Van den Bossche,2002072675,14.69,64.18,15.39,42.86,9.79,44.03,8.63,,{}
Yiandro Raap,2000226974,10.12,23.27,79.1,88.11,82.51,21.6,94.4,anchor,{"anchor":88}
Alessandro Mercati,43425477,47.15,28.17,38.85,50.61,44.92,55.27,45.76,,{}
Marcelo Mendoza,2002127270,46.27,32.84,63.81,63.95,75.23,89.13,75.7,,{}
Matías Lugo,2000051668,60.17,50.7,57.79,59.47,81.67,87.97,75.7,,{}
Matteo Dams,2000048586,1.49,99.02,1.4,52.99,1.45,1.63,2.01,,{}
Fabio De Santis,2002134097,67.91,92.63,30.13,16.84,71.64,86.15,45.76,,{}
Finn van Breemen,2000027407,28.03,90.81,44.4,71.74,34.1,13.85,94.4,,{}
Jens Vermeuelen,2002072739,4.85,94.31,7.23,67.77,7.51,9.84,13.15,,{}
Cléber,2002142733,6.02,88.81,77.94,89.88,87.31,10.73,97.99,anchor,{"anchor":92}
Otacílio Cardoso,2002131895,43.42,38.15,15.11,3.5,73.74,97.53,22.67,,{}
Anders Nøvik,2000049752,48.27,50.7,88.39,86.05,94.12,81.39,83.96,deep playmaker;anchor,{"deep playmaker":87;"anchor":88}
Jonathan Almirón,2002074565,91.04,64.18,39.88,43.94,78.36,94.5,65.53,,{}
Lassana Silva,2000024682,41,94.31,8.82,1.07,42.91,85.17,36.99,,{}
Kelvin Bueres,2002120482,32.65,15.95,70.15,82.23,90.86,27.01,83.96,anchor,{"anchor":86}
Alejandro Mendoza,2002074048,92.86,12.27,31.3,11.75,31.48,78.78,45.76,,{}
Nuno Correia,2000183113,47.15,79.29,96.88,80.55,55.92,15.9,65.53,,{}
Benjamín Schamine,2000126951,53.87,28.17,49.81,75.33,35.96,33.07,65.53,,{}
Shadi Guillet,2000307456,3.68,99.02,4.71,66.56,3.78,3.82,4.38,,{}
Eduardo,2002120200,7.74,99.72,99.39,99.21,81.44,14.37,65.53,,{}
Nicolás Sánchez,2000149247,69.31,38.15,36.52,55.92,67.12,81.02,83.96,,{}
Paulo Roberto,2002120945,15.63,28.17,96.13,88.76,31.76,23.65,13.15,,{}
Jannes Van Hecke,18110587,1.49,64.18,1.4,52.99,1.45,1.63,1.45,,{}
Enzo Geerts,2000109413,60.63,69.96,20.01,24.3,23.41,73.6,55.55,,{}
Gibbe Conaert,2000307801,1.49,86.05,1.4,52.99,1.45,1.63,1.45,,{}
Régis Kinsombi,2002133479,4.34,79.29,3.78,47.06,3.92,17.44,4.38,,{}
Agustín Ríos,2002156312,73.79,79.29,27.57,18.8,15.02,77.1,22.67,,{}
João Pina,2002073793,33.26,28.17,87.27,81.3,44.03,73.04,55.55,,{}
Joan Afonso,14254107,38.85,57.65,7.74,12.69,40.81,58.68,55.55,,{}
Geovane,2002121525,88.62,82.93,17.21,1.26,36.33,85.17,13.15,,{}
Gustav Fraulo,2000140125,1.49,99.25,1.4,52.99,1.45,1.63,2.52,,{}
Lucas Bernabéu,2000200446,26.49,18.98,93.8,91.18,88.2,6.25,89.74,anchor,{"anchor":90}
Rubén Ordoñez,2002072694,31.39,8.96,41.18,47.25,19.87,33.07,29.38,,{}
Calvin Twigt,37084612,54.43,1.03,64.6,55.41,45.52,35.07,75.7,,{}
Tiebe Coppin,2000270803,1.49,90.81,3.03,47.53,1.45,1.63,0.98,,{}
