name,uid,expectedSavesDiff,savesHeldPercentage,goalsPrevented90,passesAccuracy,proggressivePasses,badges,ratingScores
Diogo Costa,83169226,96.23,37.5,92.45,95.75,18.63,,{}
Gianluigi Donnarumma,43252073,78.07,78.07,59.43,81.6,42.22,,{}
Anatolii Trubin,71101334,45.75,65.09,29.72,88.21,48.11,,{}
Gregor Kobel,98040383,84.2,50.24,75.94,81.6,23.11,,{}
Paupol Kalonji,2002123069,68.16,65.09,73.11,95.75,14.62,,{}
Giorgi Mamardashvili,59138294,28.54,92.69,40.8,88.21,33.96,,{}
Noah Atubolu,91188349,68.16,92.69,69.81,95.75,14.62,,{}
Lucas Chevalier,49048357,78.07,84.43,62.03,88.21,16.98,,{}
Aaron Ramsdale,29137172,68.16,73.58,73.11,75.71,26.89,,{}
Niklas Hedl,16191675,14.62,84.43,17.92,75.71,18.63,,{}
Alex Meret,43140326,87.5,78.07,59.43,75.71,25.47,,{}
André Onana,67201634,9.67,84.43,13.92,99.76,4.48,,{}
Kamil Grabara,96085886,68.16,89.62,64.62,88.21,18.63,,{}
Álvaro Fernández,67246951,19.58,78.07,59.43,42.92,78.3,,{}
Daniil Khudyakov,2000082330,45.75,26.42,69.81,53.07,33.96,,{}
Diego Callai,83335582,68.16,9.67,79.48,40.8,89.39,,{}
Froilan Díaz,2000091914,78.07,31.37,64.62,68.63,32.08,,{}
Marco Carnesecchi,43298002,51.89,43.63,37.74,50,77.12,,{}
Yahia Fofana,48043476,68.16,57.78,67.22,50,60.85,,{}
Marius Dyrendahl,2002122872,51.89,15.09,34.2,75.71,63.44,,{}
Dennis Seimen,2000175080,58.96,78.07,63.21,75.71,45.52,,{}
Christian Hansen,2002103130,84.2,73.58,16.75,95.75,18.63,,{}
Mauro Viera,2002075591,68.16,65.09,80.42,95.75,9.91,,{}
Andriy Lunin,71099053,84.2,50.24,96.23,43.87,84.67,,{}
Radosław Majecki,96093498,28.54,84.43,4.72,40.8,44.58,,{}
Luís Maximiano,83111430,97.64,65.09,97.17,29.95,75,,{}
Dominik Kotarski,24056362,38.92,92.69,16.75,4.01,75.94,,{}
Filip Jörgensen,67283140,58.96,70.28,73.11,71.46,57.31,,{}
Jesús Owono,67277847,9.67,31.37,2.12,24.76,79.25,,{}
Caoimhin Kelleher,28104130,38.92,89.62,77.83,81.6,48.11,,{}
Luiz Júnior,19362984,97.64,57.78,98.35,61.79,16.27,,{}
Svetoslav Vutsov,22080125,51.89,43.63,27.12,2.59,87.26,,{}
Ivor Pandur,24060905,38.92,57.78,37.74,75.71,56.13,,{}
Iker Álvarez,67295644,78.07,37.5,52.36,6.84,80.9,,{}
Đorđe Petrović,62216198,84.2,65.09,54.72,81.6,37.5,,{}
Brenno,19352200,87.5,31.37,81.84,12.74,77.12,,{}
Daniel Peretz,42083355,68.16,95.28,84.67,14.39,88.21,,{}
Tomás Ahumada,75058374,68.16,10.85,46.7,81.6,48.11,,{}
Dean Henderson,29125334,28.54,37.5,12.74,39.39,73.82,,{}
Guillaume Restes,2000094715,45.75,73.58,40.8,75.71,42.22,,{}
Bartłomiej Drągowski,96052559,45.75,50.24,80.42,71.46,10.61,,{}
Leopold Wahlstedt,93087487,45.75,84.43,46.7,63.44,72.41,,{}
Stefano Turati,43378804,87.5,43.63,67.22,47.41,75,,{}
Wuilker Fariñez,86046565,14.62,78.07,19.1,81.6,20.99,,{}
Nikola Čavlina,24060471,68.16,89.62,67.22,3.07,52.36,,{}
Marek Rodák,28090964,78.07,43.63,87.03,71.46,70.52,passer,{"passer":71}
Finn Dahmen,92071481,78.07,65.09,27.12,68.63,56.13,,{}
Joan García,67277675,38.92,84.43,19.1,95.75,18.63,,{}
Zacarías López,75035132,78.07,50.24,77.83,75.71,44.58,,{}
Martín Seguel,2000241810,96.23,37.5,88.44,50,29.01,,{}
Arnaud Bodart,18089257,0.24,6.13,34.2,35.61,4.48,,{}
Julen Agirrezabala,67277830,68.16,17.69,88.44,45.75,84.2,,{}
Michael Woud,28106413,19.58,89.62,6.84,33.25,92.69,,{}
Federico Losas,14204547,28.54,26.42,54.72,11.32,63.44,,{}
Joseph Anang,28122325,58.96,50.24,77.83,10.14,66.27,,{}
Matheus Cunha,19347269,68.16,65.09,88.44,81.6,33.96,,{}
Jonas Urbig,91207698,45.75,57.78,46.7,19.34,95.28,,{}
Filip Eerola,2000244763,58.96,21.7,77.83,95.75,14.62,,{}
Michele Di Gregorio,43161669,51.89,92.69,34.2,81.6,38.44,,{}
Daniel Iversen,27102367,7.31,10.85,11.56,33.25,21.93,,{}
Elías Rafn Ólafsson,39049583,6.37,21.7,37.74,19.34,32.08,,{}
Roberto Rentería,2002074876,2.59,78.07,11.56,95.75,9.2,,{}
Bruce Godlieb,2000116624,28.54,17.69,20.75,52.59,56.13,,{}
Gaetan Coucke,18089396,92.22,2.59,46.7,21.93,4.48,,{}
Mads Hermansen,27120988,84.2,84.43,77.83,95.75,26.89,shot stopper,{"shot stopper":82}
Nicholas Bilokapic,95078185,9.67,43.63,9.43,12.74,77.12,,{}
Franco Israel,78091927,78.07,84.43,90.57,35.61,94.1,shot stopper,{"shot stopper":84}
Freddie Woodman,28091347,28.54,37.5,25,75.71,66.27,,{}
Thomas Didillon,85093462,0.71,99.76,46.7,21.93,4.48,,{}
Andrew,19370048,28.54,57.78,69.81,71.46,51.18,,{}
Nico Mantl,92091333,38.92,21.7,37.74,27.59,99.29,,{}
Luca Zidane,67214451,38.92,37.5,11.56,19.34,88.21,,{}
Kacper Tobiasz,96158736,58.96,31.37,20.75,47.41,54.01,,{}
Jukka Kivimäki,2002075255,78.07,98.58,92.45,59.2,93.16,shot stopper,{"shot stopper":90}
Sebastián Meza,14226784,78.07,84.43,87.03,35.61,98.82,shot stopper,{"shot stopper":83}
Bartosz Żelazowski,2000096695,9.67,65.09,13.44,95.75,22.41,,{}
Filip Stanković,43425978,68.16,65.09,56.6,81.6,26.89,,{}
Bento,19337914,68.16,50.24,90.57,16.75,99.76,,{}
Xabi López,2002173025,68.16,57.78,90.57,19.34,74.29,,{}
Uche Kalu,2002072683,38.92,78.07,37.74,14.39,67.45,,{}
Hervé Koffi,13175645,38.92,10.85,25,31.6,24.29,,{}
Roberto Colin,2002075490,58.96,73.58,56.6,75.71,29.72,,{}
Norberto Bedolla,2000295838,97.64,78.07,52.36,88.21,33.96,,{}
Gaëtan Poussin,48034678,14.62,84.43,27.12,81.6,12.97,,{}
Marcin Bułka,28111106,68.16,31.37,67.22,51.89,51.65,,{}
Kjell Peersman,2000014841,51.89,12.74,83.25,24.76,4.48,,{}
Leandro Brey,14242322,51.89,50.24,81.84,75.71,15.8,,{}
Domen Gril,62222630,87.5,15.09,90.57,63.44,33.96,,{}
Lucas Perri,19226197,12.03,8.25,4.72,5.19,53.07,,{}
Jan Olschowsky,91190660,19.58,26.42,8.49,57.55,38.92,,{}
Adrian Šemper,24046412,51.89,50.24,73.11,81.6,28.3,,{}
Luca Philipp,91207263,45.75,70.28,27.12,10.14,91.04,,{}
Magrão,19340768,9.67,95.28,73.11,95.75,11.56,,{}
Matevž Dajčar,43609559,28.54,26.42,67.22,27.59,86.08,,{}
Juan Martín Rojas,14171635,68.16,7.78,89.39,81.6,4.48,,{}
Matouš Trmal,25058063,38.92,57.78,23.58,4.01,69.58,,{}
Peter Vindahl,27113390,1.65,12.74,15.09,29.95,20.99,,{}
Oliwier Zych,96161974,45.75,10.85,34.2,6.84,49.76,,{}
Tjark Ernst,2000070509,28.54,65.09,34.2,61.08,36.08,,{}
Dani Figueira,83190946,68.16,21.7,85.85,6.84,86.56,,{}
Lennart Moser,18116464,5.66,6.13,29.72,31.6,4.48,,{}
Luis López,67293608,38.92,70.28,29.72,65.8,40.57,,{}
Stefan Bajić,49048342,58.96,84.43,25,45.75,83.73,,{}
Ricardo Velho,84111764,19.58,84.43,8.49,50,83.02,,{}
Niek Schiks,2000048570,68.16,21.7,87.03,65.8,72.88,,{}
Justin Cornejo,2000099193,78.07,26.42,94.1,59.2,30.9,,{}
Jasper Schendelaar,37062066,51.89,57.78,40.8,50,64.62,,{}
Spike Brits,2000266542,9.67,73.58,6.84,63.44,66.27,,{}
Luca Unbehaun,91177089,92.22,12.74,80.42,95.75,9.91,,{}
Joaquín Blázquez,14201595,38.92,89.62,59.43,24.76,91.98,,{}
Lautaro López,14205180,19.58,13.92,40.8,95.75,20.99,,{}
Salvatore Pirola,2002123652,51.89,17.69,23.58,56.6,71.93,,{}
Francisco Meixedo,83228782,28.54,95.28,5.66,16.75,95.28,,{}
Milivoj Krovinović,2000187592,38.92,57.78,16.75,29.95,98.35,,{}
Juan Manuel Ávila,2002072510,68.16,57.78,95.28,37.74,68.16,,{}
Owen Goodman,2000048047,38.92,37.5,59.43,29.95,96.46,,{}
Nicolás Claa,2000142047,19.58,37.5,62.03,88.21,37.5,,{}
Franco Jaroszewicz,2000114741,28.54,57.78,15.09,88.21,44.58,,{}
Lukáš Horníček,83297510,58.96,37.5,69.81,0.47,79.95,,{}
Søren Jørgensen,28122467,14.62,50.24,17.92,8.49,85.61,,{}
Phillipe Gabriel,2000218551,92.22,43.63,85.85,88.21,28.3,,{}
Mehdi Haddad,2002072393,38.92,65.09,20.75,16.75,94.58,,{}
Juan José Abreu,2002075214,38.92,95.28,52.36,4.01,58.02,,{}
Marcos Vinicius,2002131781,84.2,21.7,64.62,95.75,11.56,,{}
Matías Estévez,2002074585,51.89,43.63,37.74,88.21,64.62,,{}
Şenol Şeker,2002072797,38.92,8.96,94.1,37.74,36.08,,{}
Alejandro Iturbe,2000049485,19.58,21.7,9.43,21.93,73.35,,{}
Fabricio Iacovich,14251186,58.96,50.24,67.22,35.61,40.57,,{}
Charlie Warren,2000298712,19.58,92.69,19.1,1.89,85.14,,{}
Luis Ingolotti,14170400,58.96,73.58,56.6,33.25,95.99,,{}
Maxime Delanghe,18103149,92.22,2.59,46.7,19.34,4.48,,{}
Tein Troost,37076185,78.07,73.58,94.1,46.46,56.13,shot stopper,{"shot stopper":82}
José Saldaña,67294768,19.58,12.74,29.72,12.74,58.02,,{}
Felipe Zenobio,14227168,51.89,37.5,84.67,59.2,80.9,,{}
Edoardo Corvi,43379760,28.54,37.5,22.41,55.19,48.11,,{}
Sebastiano Desplanches,43500211,58.96,43.63,52.36,11.32,70.05,,{}
Simone Ghidotti,43316795,68.16,50.24,52.36,10.14,60.85,,{}
Dérek Barroso,2002131953,2.59,73.58,6.84,65.8,68.63,,{}
Andreas Jungdal,27148320,5.66,15.09,5.66,65.8,43.4,,{}
Lucas Lavagnino,2000096565,14.62,21.7,10.61,39.39,59.91,,{}
Mathieu Patouillet,2000011418,84.2,65.09,95.28,41.98,82.08,,{}
Ennio van der Gouw,37072699,58.96,92.69,54.72,55.19,71.46,,{}
Andrea Zaninetti,2002144554,28.54,17.69,34.2,41.98,91.04,,{}
Tommaso Martinelli,2000184143,45.75,43.63,40.8,40.8,69.1,,{}
Armando,2002101893,19.58,50.24,34.2,50,39.39,,{}
Koki Ogawa,2002098008,14.62,78.07,7.78,55.19,88.92,,{}
Ferreira,2002180789,99.29,70.28,97.17,88.21,33.96,shot stopper,{"shot stopper":89}
Juan Santos,2002134506,68.16,7.08,73.11,88.21,62.03,,{}
Jens Heylen,2000254420,14.62,8.96,40.8,24.76,50.47,,{}
Nicolás Nocetti,2000058766,68.16,31.37,75.94,37.74,4.48,,{}
Andreas Søndergaard,27141799,92.22,2.59,46.7,24.76,4.48,,{}
Lukas Baranzini,2002075322,14.62,78.07,15.09,71.46,30.9,,{}
Manuel Roffo,14184167,51.89,37.5,98.82,44.81,54.01,,{}
Oscar Bravo,2002156775,28.54,26.42,12.74,39.39,63.44,,{}
Dennis Konrad,2002123091,84.2,50.24,96.23,8.49,89.86,,{}
Antonio Gomis,2000125969,28.54,17.69,22.41,8.49,70.99,,{}
Gonzalo Álvarez,2002074338,51.89,89.62,56.6,51.89,62.03,,{}
Francisco Moyano,2002145273,68.16,65.09,73.11,42.92,78.3,,{}
Logan Ancion,18115987,92.22,2.59,46.7,24.76,4.48,,{}
Daniel Aguirre,2002074621,58.96,31.37,64.62,43.87,67.45,,{}
Álvaro Banquero,2000277385,45.75,96.93,46.7,75.71,13.44,,{}
Benjamín Carrasco,2002121391,78.07,57.78,73.11,12.74,82.08,,{}
Valdemar Birksø,27129127,92.22,2.59,46.7,27.59,4.48,,{}
José García,2002144652,28.54,26.42,25,44.81,50.47,,{}
Kaique,2000062966,87.5,84.43,81.84,61.79,80.9,shot stopper,{"shot stopper":85}
Gonzalo Siri,2000051685,78.07,21.7,97.88,0.47,83.02,,{}
Ivan Saio,43425848,92.22,50.24,59.43,5.9,87.26,,{}
Mikel Zabala,2002125919,78.07,26.42,73.11,63.44,65.33,,{}
Gustav Aabro,2000176991,9.67,84.43,29.72,19.34,12.5,,{}
Lukas Jensen,27147187,92.22,2.59,46.7,29.95,4.48,,{}
Juan Pablo Zozaya,14240704,84.2,37.5,63.21,60.61,24.29,,{}
Jerónimo Gutiérrez,2000305006,7.31,65.09,29.72,15.33,79.25,,{}
Diego Iglésias,2000307794,92.22,2.59,46.7,21.93,4.48,,{}
Gabriel Batista,19249719,28.54,84.43,59.43,5.19,40.57,,{}
Oscar Hedvall,27119204,92.22,2.59,46.7,21.93,4.48,,{}
João Virgínia,28109598,19.58,31.37,34.2,55.19,46.23,,{}
Isaac da Cruz,2002072872,28.54,57.78,20.75,59.2,36.08,,{}
Semuel Pizzignacco,43392090,28.54,50.24,67.22,16.75,90.33,,{}
Sidney van Marrewijk,2002102550,51.89,31.37,46.7,8.49,58.96,,{}
Enrique Maza,2000278504,58.96,37.5,77.83,56.6,48.11,,{}
Julián Kadijevic,2000080336,28.54,98.58,27.12,88.21,37.5,,{}
Rodrigo Borzone,2000102497,38.92,31.37,34.2,68.63,24.29,,{}
Francisco Salerno,14251385,19.58,84.43,15.09,1.18,58.96,,{}
Juan Cautela,2000094589,78.07,65.09,84.67,75.71,43.4,,{}
Jeremías Florentin,2000274763,28.54,57.78,73.11,68.63,48.11,,{}
Otávio,2000243117,4.01,26.42,0.71,68.63,29.72,,{}
Andrea Pagno,43425624,28.54,21.7,52.36,33.25,54.01,,{}
Alberto Flores,2000094510,98.82,70.28,99.29,65.8,23.11,shot stopper,{"shot stopper":89}
Braima Silva,2002190786,4.01,43.63,3.54,68.63,52.36,,{}
Mikkel Markdal,2000204609,92.22,2.59,46.7,27.59,4.48,,{}
Andrea Sergio Mazza,2000075628,12.03,50.24,3.07,47.41,75.94,,{}
Niccolò Chiorra,43390232,19.58,97.88,59.43,1.89,97.88,,{}
Gustavo Calderari,2000044163,38.92,57.78,31.84,88.21,11.56,,{}
Axel Willockx,2000307796,92.22,2.59,46.7,24.76,4.48,,{}
Mauro Casoli,14224328,12.03,15.09,10.14,14.39,97.41,,{}
Máximo Leguizamón,2000276459,2.59,65.09,2.59,48.35,59.91,,{}
Jonathan Leclere,2002072484,38.92,31.37,31.37,53.77,40.57,,{}
Luciano Velázquez,2002074292,28.54,70.28,4.01,95.75,30.9,,{}
Luís Felipe,2002131836,97.64,96.93,99.76,37.74,42.22,shot stopper,{"shot stopper":98}
Matheus,2000273911,78.07,17.69,54.72,88.21,14.62,,{}
Matías Cao,2002136442,51.89,50.24,83.25,88.21,62.03,,{}
Vinicius Machado,19390625,92.22,26.42,46.7,33.25,91.98,,{}
Rodrigo,2002161067,68.16,96.93,92.45,88.21,16.98,,{}
Renato,2002152662,99.76,7.08,83.25,95.75,20.05,,{}
Igor Hulsken,2002134565,28.54,43.63,62.03,57.55,54.95,,{}
Iván Frías,2002136269,4.95,92.69,1.18,53.77,25.47,,{}
Jorge Luque,2000081384,7.31,37.5,1.65,35.61,93.63,,{}
João Fidalgo,2000199259,4.01,99.29,0.24,68.63,46.23,,{}
Dick van Gelderen,2002102379,51.89,17.69,92.45,63.44,26.89,,{}
Malthe Petersen,2002144227,92.22,2.59,46.7,16.75,4.48,,{}
Augusto César Brandão,2002161270,28.54,78.07,40.8,59.2,96.93,,{}
Léopold Vaesen,2002162279,1.18,5.42,22.41,27.59,4.48,,{}