name,uid,conv,shots90,goals90,pressures,tackles90,xA,chancesCreated90,headersWonRatio,keyHeaders,ballRetention,drbls,keyPasses,badges,ratingScores
Paris Brunner,2000180882,66.5,47.42,67.58,36.83,29.08,10.83,28.33,58.75,89.5,48.25,71.08,16.17,,{}
Ciro Armoa,2000206598,46.67,40.08,49.5,72.75,5.58,68.58,56.58,60.08,24.25,28.25,77.25,60.33,,{}
Mamoudou Karamoko,49045804,17.67,84,46.92,5.83,4.42,24.17,1.08,18.33,24.25,90.08,5.25,1.42,,{}
Lucas Díaz,2002074334,90,80.83,91.42,7.83,71.25,64,54.83,47.33,64.08,72.08,49.5,54,goalscorer,{"goalscorer":87}
Hugo Ekitike,49062667,56.17,58.5,54.33,43.25,60.5,19.17,28.33,75.42,89.5,62.25,50.67,56.33,,{}
Isidre,2002073337,81,36.17,56.5,24.42,80.75,29.58,30.17,8.5,52.42,52.92,79.83,29.75,,{}
Matchoi Djaló,83297506,13.42,24.08,23.92,85.92,49.33,72.17,66.33,26.5,24.25,16.67,69.75,67.25,,{}
Luis,2002134509,87.5,51.08,81.42,72.33,54.42,72.17,75.17,77.67,24.25,24.08,82.33,68.83,creator,{"creator":74}
Jarne Steuckers,18115871,46.67,8.33,12.42,99.58,80.75,35.83,26.42,57.17,52.42,65.25,37.08,38.17,pressing forward,{"pressing forward":90}
Luca D'Andrea,2000024665,36.33,2.25,4.92,73.25,39.5,68.58,77.08,12.83,24.25,22.75,90.17,77.67,adwanced forward,{"adwanced forward":84}
Juan Román Zarza,14227187,42.08,34.42,28.83,60,80.75,58.75,49.92,6.33,24.25,6,78.58,44.25,,{}
Júlio César,2002120037,31.17,22.17,21.08,79.58,71.25,72.17,76.25,2.17,24.25,14.08,94.25,86.67,pressing forward;creator;adwanced forward,{"pressing forward":75;"creator":74;"adwanced forward":90}
Franjo Ivanović,2000068412,84.17,92.5,91.42,62.67,44.67,58.75,66.33,81.5,96.67,59.67,22.25,66.67,goalscorer,{"goalscorer":89}
Amin Sarr,93122985,84.17,99.17,99.08,31.58,80.75,75.33,45.75,94.75,89.5,73.75,50.67,58.83,goalscorer;target forward,{"goalscorer":94;"target forward":86}
Ervis Adili,2002072456,42.08,17.08,31.5,65.83,97,35.83,18,60.08,87.17,38.75,64.92,35.58,,{}
Atsushi Sugimoto,2002098011,77.92,49.92,37.75,71.92,98.67,75.33,44.25,26.5,24.25,2.33,90.42,62.83,pressing forward,{"pressing forward":85}
Ezequiel Bullaude,14207820,36.33,11.83,21.08,89.42,39.5,7.33,7.17,73.58,24.25,88.75,54.83,25.25,,{}
Agustín Colazo,2000071257,46.67,63.42,39.67,71.75,88.42,58.75,72.5,91.58,97,85.58,39.17,56.33,pressing forward;target forward,{"pressing forward":80;"target forward":91}
Yoan Bonny,49061476,77.92,93.75,93.92,44.17,80.75,10.83,10.25,85.92,73.83,94.25,16.33,25.25,goalscorer;target forward,{"goalscorer":89;"target forward":85}
Francesc Durán,2002135876,66.5,93.33,85.92,22.33,44.67,68.58,74.17,58.75,73.83,51.92,38.25,64.83,,{}
Christian Rasmussen,27148085,74.17,32.33,46.92,40.5,54.42,35.83,49.92,47.33,80.58,41,37.08,26.92,,{}
Naci Ünüvar,37079279,22.58,47.42,21.08,51.75,84.58,72.17,52.25,10.58,24.25,22.25,54.25,56.33,,{}
Facundo Farías,14240979,90,13.42,37.75,50.67,54.42,35.83,70,18.33,24.25,25.08,77.58,47.58,,{}
Wahid Faghir,27156353,17.67,97.08,51.58,3.08,10.33,19.17,1.08,68.58,24.25,93.42,3.92,4,,{}
Arnal Sole,2002073155,77.92,61,71.33,73.5,66.17,1.75,7.17,29,77.33,42.58,51.25,32.33,,{}
Kai Pluim,2002072752,17.67,95.92,51.58,9.25,5.58,29.58,10.25,77.67,73.83,26.25,10.67,8,,{}
Gabriel James,2002074113,61.08,30.58,39.67,17.17,8.33,4,26.42,85.92,87.17,87.92,8.42,17.08,target forward,{"target forward":87}
Mateo Sequeira,2002074650,74.17,70.92,69.58,64,96,94.08,95,8.5,24.25,14.25,90.17,92.42,creator;adwanced forward,{"creator":95;"adwanced forward":91}
Fabrício,2002152720,61.08,85.58,91.42,47.17,96,72.17,65.08,86.83,24.25,84.33,37.08,85.92,,{}
Lucas Marrone,2002074587,56.17,57.33,63.75,5.17,16.92,29.58,39.08,71.25,58.33,66.75,56.83,17.83,,{}
Fábio Silva,83228802,42.08,53.92,49.5,66.75,44.67,14.58,24.92,75.42,97.92,84.67,44.92,36.58,target forward,{"target forward":86}
Emiel De Vos,2002162272,74.17,68.25,73.33,82.83,29.08,97.17,98.5,52.92,24.25,1.08,99.92,98.58,creator;adwanced forward,{"creator":98;"adwanced forward":99}
Samuel González,2002124203,36.33,57.33,41.75,63.17,49.33,58.75,64,3.17,24.25,29.67,93.92,52.58,,{}
Marc Ortiz,2000068017,66.5,25.92,33.67,37.5,98.67,46.75,58.42,45.42,24.25,57.25,50,65.67,,{}
Arijon Ibrahimović,2000114473,31.17,20.33,23.92,92.83,60.5,87,76.25,18.33,73.83,23.17,75.58,55.5,creator,{"creator":82}
Raimonds Krollis,47092784,51.17,80.83,67.58,56.5,29.08,35.83,54.83,87.83,87.17,17.08,38.25,41.83,,{}
Tiago Tomás,83261927,70.58,77.42,77.83,15,22.5,10.83,28.33,64.58,24.25,95.58,18.08,46.92,goalscorer,{"goalscorer":75}
Gabriel Silva,19360961,77.92,97.92,95.83,39.5,66.17,99.33,99.92,37.5,64.08,7.25,94.75,99.42,goalscorer;creator;adwanced forward,{"goalscorer":91;"creator":100;"adwanced forward":97}
Ive Balaban,2002075517,36.33,36.17,28.83,38.5,71.25,29.58,16.17,97.42,95.33,68.33,9.08,25.25,,{}
Rodrigo Mendes,2000024689,51.17,40.08,46.92,53.58,44.67,35.83,58.42,21.67,24.25,55.42,83.92,65.67,,{}
Juan Bisanz,14224843,36.33,29.58,29.92,79.25,60.5,87,96.17,79.33,64.08,56.25,57.42,74.42,creator,{"creator":92}
Agustín Grillo,2000037068,22.58,3.42,8.42,94.67,16.92,72.17,70,61.83,80.58,93.75,22.25,78.58,creator,{"creator":71}
Mário Gomes,2002154103,17.67,89,51.58,49.08,71.25,78.17,63.08,94.75,89.5,38.42,79.42,54,,{}
Rafael Guimente,2002119971,96,59.67,69.58,61.92,88.42,89.08,56.58,26.5,24.25,56.75,80.33,73.33,adwanced forward,{"adwanced forward":77}
Daniel,2002152995,56.17,49.92,69.58,36.83,66.17,58.75,61.83,49.58,52.42,52.17,75.25,57.33,,{}
Pau Víctor,2000062523,77.92,54.92,71.33,55.25,14.67,4,18,57.17,88.42,78.33,26.33,5.75,,{}
Diego Ibáñez,2002127752,66.5,89,85.92,10.25,94.92,46.75,56.58,95.42,64.08,68.67,21.67,74.42,,{}
Gabriel Moreno,2000184506,17.67,15.75,10.83,72.33,66.17,78.17,87.67,84.42,97.25,83.25,74.83,69.25,creator;target forward,{"creator":83;"target forward":88}
Ezequiel Bordón,2002127306,51.17,20.33,21.08,88.75,49.33,99.75,98.5,24.42,24.25,0.67,96.58,99.25,creator;adwanced forward,{"creator":99;"adwanced forward":98}
Danilo,2002121061,26.83,92.5,65.58,91.67,88.42,68.58,73.5,89,90.75,19.08,82,61.58,pressing forward,{"pressing forward":90}
Matheus França,2000090823,22.58,76.5,49.5,80.17,54.42,87,75.17,97.92,97.92,99.92,13.33,98.92,creator;target forward,{"creator":81;"target forward":99}
Damienus Reverson,2000040427,94.17,34.42,60.33,41.33,66.17,29.58,37.33,66.92,93.83,63.42,40.42,21.67,,{}
Lukas Da Cruz,2000307598,7.92,77.92,26.25,1.58,19.58,24.17,2.67,21.67,52.42,74.25,1.83,1.42,,{}
George Ilenikhena,2000214136,42.08,92.92,77.83,22.33,80.75,46.75,19.75,47.33,24.25,9.75,48.5,28.5,,{}
Lautaro Fedele,2000085182,84.17,81.5,94.5,30.17,88.42,78.17,95.5,2.17,24.25,86.08,33.25,78.58,goalscorer;creator,{"goalscorer":87;"creator":87}
Pedro Campos,2002074964,74.17,51.08,71.33,38.5,39.5,64,58.42,47.33,77.33,25.25,82.58,46.92,,{}
Magnus Warming,27132199,42.08,92.92,81.42,4.08,66.17,19.17,9.08,61.83,24.25,49.42,33.92,38.17,,{}
Thomas Kastanaras,2000051522,61.08,31.08,51.58,49.08,44.67,14.58,49.92,52.92,85.42,82.42,33.92,23.83,,{}
Christian Sinisgallo,2002133565,10.5,53.92,23.92,87.42,54.42,92.58,88.5,92.83,87.17,41.25,39.5,97.33,creator,{"creator":91}
Iván Traver,2002073331,31.17,59.67,37.75,28.33,71.25,87,81.25,15.5,58.33,8.58,84.17,79.17,creator;adwanced forward,{"creator":84;"adwanced forward":82}
Davide Corelli,2002135437,51.17,53.92,62,68,49.33,89.08,96.75,18.33,24.25,40.08,35.5,95.08,creator,{"creator":93}
João Maca,2002075331,4.08,26.83,15.08,41.08,10.33,29.58,33.17,47.33,24.25,73.17,57.92,40.83,,{}
Ernest Poku,2000014559,96,34.42,71.33,70.33,71.25,10.83,5.67,6.33,24.25,74.5,56.83,23.83,pressing forward,{"pressing forward":71}
Saïdou Touré,2000254668,56.17,48.67,56.5,33.17,71.25,35.83,14.58,61.83,64.08,14.67,45.42,26.92,,{}
Amario Cozier-Duberry,2000134393,56.17,11.83,21.08,89.92,94.92,24.17,30.17,15.5,24.25,12.83,83.67,23.83,pressing forward,{"pressing forward":92}
Sidney Pires,2002075440,42.08,72.67,49.5,52.83,44.67,84.92,85.5,6.33,64.08,27.08,39.92,67.92,creator,{"creator":85}
Julien Bellet,2002074825,77.92,51.08,69.58,84.92,19.58,19.17,37.33,26.5,58.33,68.67,26.67,26.92,,{}
Ramón Ramos,2002102123,17.67,17.08,12.42,31.58,33.92,19.17,42.25,0.33,24.25,43,61.17,23.83,,{}
Eddie Salcedo,43372893,90,37.25,53.08,19.42,25.5,1.75,10.25,49.58,24.25,80.5,18.08,7.42,,{}
Derek Suárez,2000051202,17.67,25.92,17,66.25,19.58,54.83,73.5,92.83,98.42,33.33,71.58,83.17,adwanced forward,{"adwanced forward":77}
José,2002152616,77.92,86.75,93.42,74.67,33.92,54.83,49.92,84.42,80.58,92.25,40.42,72.58,goalscorer;target forward,{"goalscorer":86;"target forward":86}
José Romário,2002152566,84.17,43.25,76.75,24.42,54.42,29.58,23.67,2.17,24.25,82.42,26.33,20.75,,{}
Anders Axelsson,2002072680,26.83,74.75,56.5,2.42,2.5,41.42,7.17,15.5,52.42,64.67,3.67,2.08,,{}
Federico Girotti,14183211,61.08,96.92,84.58,48.08,19.58,24.17,22.17,96.92,64.08,80.5,9.08,48.25,,{}
Lucas Besozzi,2000048809,31.17,7.33,17,33.67,39.5,35.83,34.42,15.5,24.25,89.08,17.42,39.5,,{}
Ricardo,2002119991,77.92,74.08,79,18.58,71.25,51.5,61.83,18.33,24.25,39.5,67.67,50,goalscorer,{"goalscorer":77}
Abbévi Bissirou,2002075511,70.58,47.42,71.33,24.42,60.5,78.17,88.5,40.08,69.83,23.92,56.08,93.92,creator,{"creator":83}
Claudio Echeverri,2000094152,31.17,90.17,58.67,67.5,60.5,72.17,77.08,18.33,83.5,61.33,57.67,75.92,creator,{"creator":75}
Cristian Gauna,2002127557,42.08,76.5,62,28.83,19.58,72.17,75.17,8.5,24.25,56.5,66.08,61.58,creator,{"creator":74}
Gabriel Iriarte,2000036875,31.17,38.17,23.92,23.75,60.5,19.17,47.83,64.58,89.5,73.92,52.33,29.75,,{}
Javi Llabrés,2000197966,5.58,15.75,3.58,68,60.5,19.17,24.92,37.5,24.25,36.58,56.83,21.67,,{}
Facundo Daniele,2000144691,36.33,59.67,46.92,44.17,54.42,41.42,66.33,79.33,87.17,51.33,52.75,53.17,,{}
Mattia Mosconi,2000269293,46.67,39.25,46.92,31.58,76.42,19.17,20.92,29,58.33,83.58,56.83,46.92,,{}
Jerónimo Rojas,2002136213,51.17,49.92,69.58,56.5,33.92,78.17,87.67,82.75,24.25,81.42,31.75,71.42,creator,{"creator":83}
Alberto Ruiz,2002135568,0.83,0.92,0.83,92,60.5,51.5,47.83,37.5,24.25,35.25,67.08,80.83,,{}
Frank Tsadjout,43268698,74.17,75.58,85.92,13.5,29.08,29.58,5.67,89,85.42,80.75,5.67,29.75,goalscorer;target forward,{"goalscorer":79;"target forward":85}
Figueiredo,2000036263,7.92,29.58,9.67,46.33,5.58,19.17,22.17,4.42,24.25,42.33,30,14.92,,{}
Justin Poulain,2002136408,97.75,3.42,35.75,70.33,33.92,14.58,30.17,10.58,24.25,28.92,67.67,37.33,,{}
Mikey Moore,2000298715,2.92,10.75,2.83,98.92,29.08,54.83,58.42,34.92,64.08,31.58,70.67,87.92,adwanced forward,{"adwanced forward":79}
Gonzalo Navarro,2002073110,26.83,43.25,39.67,80.92,60.5,58.75,44.25,6.33,24.25,55.67,86.17,71.42,adwanced forward,{"adwanced forward":79}
Gabriel,2002152608,22.58,92.92,60.33,77.08,76.42,84.92,92.92,91.58,64.08,21.92,91.5,89.58,pressing forward;creator;adwanced forward,{"pressing forward":77;"creator":89;"adwanced forward":91}
Gustavo Ferreira,2000270349,66.5,62.17,69.58,33.92,25.5,4,19.75,90.25,24.25,93.92,30.42,11.83,,{}
Álvaro Grande,2002134600,17.67,72.67,31.5,41.75,33.92,24.17,26.42,68.58,87.17,68.33,68.75,31.33,,{}
Kazeem Olaigbe,18111482,5.58,34.42,15.08,3.83,88.42,24.17,4.92,32.75,24.25,36.25,4.25,6.42,,{}
Omari Kellyman,2000147523,46.67,54.92,60.33,44.17,71.25,46.75,68.58,55.75,24.25,39.75,68.33,63.83,,{}
Luca Raimund,2000180828,0.83,66.67,0.83,95.17,54.42,24.17,28.33,98.75,99.75,90.92,60.5,68.83,target forward,{"target forward":96}
Matias Padilla,2002127670,61.08,44.42,69.58,70.33,33.92,51.5,47.83,93.5,99.08,31.92,80.92,74.42,adwanced forward,{"adwanced forward":78}
Giacomo Sala,2002123931,42.08,82.75,63.75,59.17,10.33,80.92,86.67,66.92,24.25,75.58,46.67,65.67,creator,{"creator":84}
Matías Albornoz,2002136620,74.17,12.58,44.17,11.33,10.33,19.17,47.83,4.42,24.25,76.42,35.08,23.83,,{}
Robin van Duiven,2000215378,13.42,34.42,15.08,25.17,71.25,29.58,35.75,12.83,24.25,53.42,54.83,44.25,,{}
Giacomo Quaranta,2002133750,92.08,14.83,39.67,44.17,71.25,19.17,18,40.08,24.25,33.58,77.92,36.58,,{}
Valerio Pugliese,2002075153,84.17,38.17,67.58,30.17,84.58,41.42,47.83,2.17,24.25,48.92,34.5,32.33,,{}
Jerónimo Domina,2000166219,31.17,6.08,13.92,66.75,44.67,19.17,12.25,45.42,24.25,15.42,81.5,55.5,,{}
Magnus Kaastrup,27138191,10.5,63.42,21.08,8.92,29.08,83.08,28.33,26.5,24.25,49.83,25.83,34.58,,{}
Valentín Chocobar,2000209149,51.17,59.67,51.58,32.5,39.5,46.75,74.17,0.08,77.33,27.92,39.5,29.75,,{}
Germán Oliva,2002136535,84.17,70.92,87.33,21.75,19.58,83.08,66.33,6.33,24.25,52.92,62.75,57.33,goalscorer,{"goalscorer":81}
Alex Luna,14236686,17.67,14.25,12.42,67.08,88.42,64,53.33,10.58,58.33,36.75,83.42,65.67,,{}
Luca Moro,43379699,84.17,79.33,93,5.17,33.92,35.83,2.67,90.25,91.58,33.75,4.25,9.83,goalscorer,{"goalscorer":86}
Santiago Castro,14236223,61.08,10.08,21.08,40.5,49.33,10.83,22.17,21.67,24.25,74.75,52.33,15.5,,{}
Mikel Herrero,2002134609,2.92,54.92,12.42,63.42,33.92,58.75,64,58.75,69.83,48.42,74.83,87.33,adwanced forward,{"adwanced forward":81}
Jeisson Pedraza,2002074519,74.17,86.25,91.42,20,2.08,24.17,44.25,80.42,64.08,69.08,13.33,19.58,goalscorer,{"goalscorer":84}
Lukáš Vorlický,43474384,4.08,12.58,4.92,92,84.58,19.17,35.75,95.92,95.92,87.08,75.25,45,pressing forward;target forward,{"pressing forward":88;"target forward":93}
Ramiro Centurión,2002146989,87.5,61,80.33,70.75,54.42,54.83,58.42,71.25,87.17,24.5,79.83,45,,{}
Tomás Rambert,2000048651,22.58,2.25,6.75,88.08,88.42,54.83,37.33,84.42,24.25,23.75,62.08,33.58,pressing forward,{"pressing forward":88}
Maurício,2002120082,56.17,69.5,77.83,11.33,97.92,51.5,71.33,82.75,24.25,36.42,59.08,45.58,,{}
Amine Salama,2000180911,51.17,65,54.33,55.83,44.67,7.33,35.75,84.42,77.33,80.92,12.08,28.5,target forward,{"target forward":81}
Ian Rojas,2000121243,70.58,42.33,71.33,39.75,54.42,51.5,51.17,71.25,64.08,62.5,65.42,83.67,,{}
Sebastián Díaz,2000148680,87.5,47.42,90.08,17.42,29.08,35.83,39.08,4.42,24.25,55.92,47.5,64.83,,{}
Mohamed Salah El Boukammiri,2000204002,61.08,75.58,67.58,16.08,33.92,29.58,35.75,47.33,52.42,25.42,24.33,35.58,,{}
Sydney van Hooijdonk,37070319,56.17,77.92,63.75,50.25,6.83,4,10.25,66.92,24.25,41.58,18.67,3.33,,{}
Allan,2002120840,31.17,79.33,56.5,63.17,97,98.92,91.08,82.75,64.08,3.42,98.58,85.33,creator;adwanced forward,{"creator":95;"adwanced forward":92}
Mathis Lambourde,2000191931,5.58,24.08,9.67,78.33,49.33,68.58,66.33,89,52.42,24.92,83.08,66.67,,{}
Emanuel Solé,2002136465,22.58,37.25,29.92,54.83,6.83,58.75,51.17,57.17,24.25,32.75,49.08,63.83,,{}
Lino Decresson,2000254421,81,64.42,87.33,0.92,0.42,19.17,12.25,49.58,69.83,95.92,3.33,0.25,,{}
Luciano Carmona,2002136185,51.17,11.25,27.75,78.08,44.67,35.83,44.25,34.92,64.08,99.75,24.33,73.33,,{}
Gonzalo Morales,2000050088,4.08,13.42,4.92,45.83,88.42,4,12.25,8.5,24.25,57.75,25.83,18.75,,{}
Alejo Figueredo,2002105164,51.17,62.17,83,14.08,12.67,29.58,28.33,77.67,64.08,23.42,69.42,38.17,,{}
Mohamed Bennani,2002072885,36.33,25.92,26.25,68.33,25.5,41.42,54.83,80.42,73.83,54.08,42.17,55,,{}
Bernardo Valim,2000218553,26.83,29.58,33.67,21.33,22.5,78.17,80.08,91.58,24.25,44.75,15.58,90.25,creator,{"creator":79}
Lucas Rebecchi,14222104,84.17,88.58,94.5,27.67,19.58,29.58,49.92,58.75,83.5,71.17,43.75,38.17,goalscorer,{"goalscorer":89}
Jovan Milošević,2000178782,51.17,43.25,54.33,18,8.33,7.33,14.58,99.92,97,34.08,36.58,11.83,,{}
Luka Andrade,2000204278,51.17,86.25,80.33,86.42,54.42,95.58,93.75,85.92,88.42,89.83,84.42,96.58,creator;target forward;adwanced forward,{"creator":95;"target forward":88;"adwanced forward":91}
Gustav Mogensen,27139577,26.83,82.75,46.92,4.58,5.58,7.33,14.58,82.75,58.33,79.92,6,14.92,,{}
Ivenzo Thier,2000249737,61.08,65.75,56.5,51.17,60.5,58.75,61.83,37.5,24.25,56.92,52.33,88.92,,{}
Alessio Vacca,2000098311,42.08,30.58,33.67,73,19.58,58.75,61.83,86.83,95.33,52.58,51.58,58.83,,{}
Zakaria El Ouahdi,2000065641,13.42,82.08,41.75,1.75,39.5,41.42,1.08,10.58,24.25,68.92,2.08,1.42,,{}
Lucas Gómez,2002136247,98.42,3.42,21.08,59.58,80.75,92.58,90.33,64.58,85.42,99.25,61.92,94.5,creator,{"creator":91}
Romeo Vermant,2000006275,42.08,90.75,76.75,1.25,97.92,24.17,4,29,24.25,91.25,2.5,1.92,,{}
Alfred Cucurella,2002072499,74.17,16.42,31.5,30.17,8.33,19.17,31.75,60.08,89.5,40.25,23.17,12.75,,{}
William Osula,28128173,31.17,95.5,67.58,2.58,54.42,46.75,35.75,84.42,69.83,12.42,3.67,15.5,,{}
Henrik Shahinyan,2002075462,61.08,22.17,39.67,13.5,71.25,14.58,19.75,3.17,24.25,88.58,31.75,17.83,,{}
Tim Lakies,2002073014,51.17,26.83,33.67,86.92,84.58,72.17,77.83,12.83,58.33,64.42,71.42,67.25,pressing forward;creator,{"pressing forward":86;"creator":75}
Justin Njinmah,91205613,61.08,21.25,49.5,29.5,66.17,4,7.17,8.5,24.25,97.25,47.08,15.5,,{}
Guillermo Barone,2002127476,87.5,79.33,84.58,14.67,29.08,64,80.08,71.25,73.83,35.42,67.67,72.58,goalscorer,{"goalscorer":84}
Claudio Jara,2002127308,36.33,83.33,73.33,12.25,22.5,46.75,52.25,86.83,24.25,46.08,43.75,29.75,,{}
Moutir Chajia,18096854,22.58,63.42,31.5,6.25,99.08,46.75,4.92,29,52.42,48.67,10.17,29.75,,{}
Hamza Bouhadi,2000117328,36.33,34.42,35.75,12.75,71.25,35.83,18,18.33,24.25,55.25,37.92,29.75,,{}
Elayis Tavşan,37065568,90,2.75,26.25,78.67,71.25,7.33,30.17,55.75,69.83,31.25,53.58,17.83,pressing forward,{"pressing forward":75}
Fernando González,2002156486,51.17,84,84.58,27.25,54.42,54.83,42.25,75.42,24.25,23.58,30.42,65.67,,{}
Shane Doyle,2002123278,17.67,57.33,31.5,45.17,33.92,58.75,56.58,90.25,80.58,20.83,56.08,58.83,,{}
Gustavo Sepe,2002136495,22.58,57.33,39.67,45.17,88.42,54.83,65.08,68.58,64.08,79.25,96.25,35.58,,{}
Vivaldo Semedo,2000104444,22.58,91.42,81.42,19.42,44.67,46.75,30.17,96.5,92.5,86.67,14.92,92.17,target forward,{"target forward":92}
Diogo Henriques,2002101694,84.17,1.08,6.75,91.08,88.42,29.58,26.42,18.33,24.25,54.92,82,22.58,pressing forward,{"pressing forward":90}
Massimiliano Matta,2002123584,74.17,31.67,46.92,87.75,99.58,78.17,37.33,31,24.25,30.42,39.17,57.33,pressing forward,{"pressing forward":94}
Renato Pedro,2000024674,94.17,15.75,44.17,50.42,14.67,35.83,47.83,18.33,24.25,67.92,34.5,31.33,,{}
Bruno Pereira,2002144411,26.83,21.25,19,75.08,71.25,80.92,89.67,21.67,24.25,23.17,97.25,83.17,pressing forward;creator;adwanced forward,{"pressing forward":73;"creator":85;"adwanced forward":90}
