name,uid,conv,shots90,goals90,pressures,tackles90,xA,chancesCreated90,headersWonRatio,keyHeaders,ballRetention,drbls,keyPasses,badges,ratingScores
Julián Núñez,2002156592,74.17,91.42,95.17,37.5,60.5,80.92,82.5,79.33,64.08,13.75,62.42,87,goalscorer;creator,{"goalscorer":87;"creator":82}
Gastón Irala,2002156677,51.17,53.92,53.08,44.17,97,72.17,66.33,10.58,24.25,24.75,94.58,76.42,adwanced forward,{"adwanced forward":86}
Tijn den Boggende,2000199407,42.08,48.67,62,21,44.67,14.58,7.17,97.42,77.33,95.08,6.75,20.75,target forward,{"target forward":90}
Cristóbal Fraile,2002145735,87.5,76.5,85.92,30.17,60.5,68.58,65.08,37.5,58.33,43.83,70.67,74.42,goalscorer;adwanced forward,{"goalscorer":83;"adwanced forward":73}
N'dri Philippe Koffi,49062609,61.08,68.92,73.33,46.75,19.58,19.17,45.75,77.67,80.58,81.08,32.33,19.58,target forward,{"target forward":80}
Simon Elisor,49060444,17.67,85.58,46.92,1.08,29.08,68.58,1.08,49.58,24.25,78.67,0.42,0.58,,{}
Nicolás Maritato,2000118466,77.92,25.17,46.92,40.5,54.42,84.92,82.83,2.17,24.25,69.92,41.67,70.5,creator,{"creator":84}
Hakim Sahabo,2000208403,2.92,67.5,9.67,4.33,25.5,14.58,2.67,40.08,52.42,62.75,21.67,20.17,,{}
Cauê,89068839,17.67,92.08,56.5,4.92,54.42,24.17,16.17,34.92,24.25,26.58,5.25,7.08,,{}
Gastón Giacone,2002136700,42.08,44.42,46.92,64.67,14.67,54.83,28.33,52.92,24.25,21.08,79.83,87.92,adwanced forward,{"adwanced forward":84}
Agustín Ríos,2002156312,36.33,61,49.5,80.17,76.42,83.08,39.08,94.75,96.67,59.42,59.67,79.17,pressing forward,{"pressing forward":78}
Younes Mokhtari,37079431,36.33,84,58.67,2.75,33.92,29.58,7.17,40.08,64.08,52.42,2.5,6.42,,{}
Nicolás Pistone,14245238,97.75,91.75,98.25,57.08,88.42,93.33,89.33,34.92,24.25,44.58,85.5,81.42,goalscorer;creator;adwanced forward,{"goalscorer":96;"creator":91;"adwanced forward":83}
Noam Emeran,49061888,0.83,5.58,0.83,94.08,66.17,87,89.67,49.58,69.83,4.42,96,69.25,creator,{"creator":88}
Jona Niemiec,2000078565,90,85.17,91.42,44.17,25.5,10.83,9.08,64.58,24.25,96.5,55.75,19.58,goalscorer,{"goalscorer":89}
Martijn Thoma,2000114030,74.17,56.33,74.75,6.67,39.5,1.75,13.33,57.17,73.83,94.42,9.08,5,,{}
Rubén Ordoñez,2002072694,10.5,15.08,6.75,47.42,14.67,19.17,23.67,58.75,98.25,98.25,12.5,25.25,,{}
Rayane Bounida,2000127879,36.33,66.67,46.92,30.17,3.5,78.17,45.75,10.58,24.25,77.42,51.83,43.42,,{}
Enzo Sternal,2000287837,96,48.67,82.25,60.33,10.33,41.42,70,61.83,24.25,66.58,20.5,38.17,,{}
Luiz Guilherme,2000118304,77.92,99.42,99.75,6.67,60.5,7.33,9.08,81.5,80.58,98.08,14.92,42.67,goalscorer;target forward,{"goalscorer":92;"target forward":87}
Tiebe Coppin,2000270803,31.17,87.25,62,0.08,91.67,19.17,1.08,85.92,24.25,98.42,0.08,0.25,,{}
Enric Granell,2002072505,36.33,25.17,21.08,55.25,19.58,35.83,45.75,18.33,24.25,26.08,50.67,20.75,,{}
Yonni La Barbera,2000270838,2.08,40.75,4.92,28.83,22.5,35.83,1.08,32.75,24.25,2.08,41.67,37.33,,{}
Iván Salomón,2002136783,42.08,34.42,35.75,80.67,84.58,64,40.5,6.33,52.42,42.33,62.42,66.67,pressing forward,{"pressing forward":83}
Romain Perret,2000126677,61.08,15.75,35.75,74.25,39.5,58.75,64,18.33,24.25,48.08,50,73.75,,{}
Romain Legendre,2002072876,51.17,83.33,71.33,21.33,19.58,24.17,2.67,42.83,73.83,38.58,34.5,10.5,,{}
Rian Assumpção,2002132132,94.17,87.75,96.42,42.33,22.5,64,49.92,68.58,64.08,39.5,32.92,69.25,goalscorer,{"goalscorer":93}
Stanislav Karas,2002075426,31.17,27.67,33.67,28,29.08,35.83,28.33,61.83,80.58,79.75,36,14.5,,{}
Alexander Simmelhack,2000169857,81,97.75,95.17,4.33,4.42,41.42,4,68.58,94.58,67.58,11.08,8.83,goalscorer,{"goalscorer":91}
Franciscus De Meyer,2002073692,61.08,96.5,91.42,0.33,8.33,10.83,2.67,77.67,24.25,91.25,0.83,1.42,,{}
Nemanja Motika,2000062142,51.17,40.75,53.08,83.75,49.33,46.75,42.25,29,24.25,30.58,89.17,82,adwanced forward,{"adwanced forward":86}
Mario Barlocco,2000278405,10.5,12.58,4.92,98.25,71.25,78.17,86.67,42.83,24.25,20.58,85.08,79.17,pressing forward;creator;adwanced forward,{"pressing forward":85;"creator":82;"adwanced forward":82}
Logan Chevallier,2000067664,5.58,24.08,6.75,83.75,71.25,54.83,53.33,75.42,24.25,26.92,88.08,83.67,pressing forward;adwanced forward,{"pressing forward":78;"adwanced forward":86}
Roberto Díaz,2002146644,61.08,79.33,82.25,11.58,76.42,54.83,49.92,98.33,83.5,50.75,11.67,33.58,,{}
Kaidyn Wrightman,2002144030,61.08,5.58,19,17.17,29.08,4,16.17,6.33,24.25,80.17,21.67,8.83,,{}
Matthieu Guillot,2002075097,31.17,28.58,28.83,97.08,60.5,78.17,54.83,77.67,58.33,47.25,96.75,71.42,adwanced forward,{"adwanced forward":84}
Ilyas el Moussaoui,37085326,26.83,52.75,33.67,23.75,14.67,0.17,11.33,64.58,24.25,95.25,25.25,5.75,,{}
Soulyman Allouch,37079093,99,22.17,46.92,42.92,60.5,46.75,42.25,6.33,52.42,28.58,69.08,32.83,,{}
Gabriel Carvalho,2000273988,26.83,63.42,29.92,23.25,76.42,94.5,92.08,15.5,69.83,26.42,44.5,91.83,creator,{"creator":93}
Ian Escobar,2000141714,81,86.25,85.92,49.67,33.92,83.08,86.67,15.5,24.25,50.08,59.67,84.83,goalscorer;creator,{"goalscorer":84;"creator":85}
Jacob Gangsted Gartenmann,2002172116,46.67,98.33,89.25,0.33,12.67,7.33,4.92,42.83,24.25,94.92,2.92,0.25,,{}
Gastón Echeverría,2002146873,51.17,38.17,37.75,25.83,76.42,51.5,47.83,4.42,24.25,29.33,53,50,,{}
Matthew Williams,2002133283,42.08,75.58,51.58,62.25,44.67,4,20.92,32.75,24.25,73.42,68.33,10.5,,{}
Ángel Arroyo,2002136515,7.92,26.83,12.42,77.58,60.5,80.92,80.08,34.92,24.25,70.42,87.58,85.92,creator;adwanced forward,{"creator":81;"adwanced forward":87}
Mauro Bruna,2002074341,56.17,81.5,87.33,7.33,0.83,35.83,23.67,45.42,24.25,37.75,29.17,22.58,,{}
Szabolcs Márton,2002075626,56.17,7.33,21.08,71.25,39.5,46.75,40.5,34.92,24.25,96.5,14.42,43.42,,{}
João Infante,2000188449,66.5,45.67,65.58,10.92,33.92,10.83,13.33,57.17,73.83,95.75,17.42,26.92,,{}
Enzo Faty,2000290405,10.5,45.67,23.92,34.08,54.42,46.75,39.08,73.58,83.5,72.42,28.5,35.58,target forward,{"target forward":77}
Youness Allioui,2002134573,98.42,48.67,82.25,31.58,22.5,1.75,1.08,55.75,24.25,55.08,27.58,14.5,,{}
Vitinho,2002131838,7.92,18.17,13.92,57.33,12.67,29.58,35.75,37.5,24.25,37.42,41.67,41.83,,{}
Lars Jensen,2002123410,31.17,95.5,69.58,15.58,71.25,58.75,23.67,21.67,24.25,99.42,0.83,5,,{}
Tomás Hernández,2002127395,77.92,98.08,97.92,24.42,54.42,64,81.83,95.92,64.08,19.33,47.08,62.83,goalscorer,{"goalscorer":91}
Facundo Moral,2002146911,46.67,68.92,71.33,54.42,66.17,4,13.33,84.42,73.83,50.25,60.5,44.25,,{}
Gabriel Díaz,2002127607,26.83,52.75,33.67,10.5,97.92,35.83,28.33,60.08,77.33,47,16.92,51.75,,{}
Maik Kling,2002153689,0.83,1.42,0.83,81.58,88.42,35.83,70,96.92,98.92,97.08,52.33,75.25,pressing forward;target forward,{"pressing forward":85;"target forward":98}
Facundo Ballester,2000059950,42.08,4.67,12.42,84.17,60.5,29.58,30.17,75.42,24.25,51,90.67,33.58,,{}
Loïc Colot,2002072785,36.33,92.08,77.83,29.25,22.5,7.33,4,49.58,24.25,2.58,50.67,8,,{}
Thiago Zamora,2002127739,51.17,33.17,58.67,61.92,76.42,94.08,81.83,64.58,24.25,20.25,96.42,94.75,creator;adwanced forward,{"creator":88;"adwanced forward":96}
Tzalo,2000292832,42.08,45.67,41.75,19,44.67,35.83,23.67,47.33,24.25,61.92,56.83,8.83,,{}
Guy Konan,2002172123,51.17,77.08,67.58,2,1.67,35.83,7.17,21.67,24.25,94.75,3.08,5.33,,{}
Robert,2002132051,2.92,6.75,2.17,77.58,60.5,41.42,44.25,21.67,58.33,28.42,85.92,41.83,,{}
Luca Franco,14243012,66.5,80,79,52.83,39.5,64,76.25,81.5,77.33,58,7.42,80.25,,{}
Alejo Sarco,2000110066,81,85.58,93,14.08,80.75,7.33,7.17,84.42,24.25,32.58,58.25,29.75,goalscorer,{"goalscorer":87}
Rudi Almeida,2000144735,31.17,6.42,17,99.08,71.25,46.75,47.83,95.92,99.58,96.92,27,63.83,pressing forward;target forward,{"pressing forward":85;"target forward":97}
Fabrizio Fanciulli,2002124073,61.08,12.58,33.67,31.58,60.5,7.33,9.08,37.5,87.17,87.58,4.75,10.5,,{}
Gregory Jansen,2002104182,77.92,32.33,46.92,43.25,12.67,72.17,56.58,47.33,24.25,72.92,27.92,73.75,,{}
Francesco Cardone,2002102456,77.92,2.92,23.92,84.58,71.25,64,73.5,15.5,24.25,58.5,74.42,39.5,pressing forward,{"pressing forward":78}
Lautaro Zalazar,2002146709,51.17,71.83,67.58,30.75,3.25,35.83,63.08,96.92,97.92,53.25,20.17,42.67,,{}
Lima,2002121036,22.58,1.25,9.67,79.58,39.5,90.67,81.83,51.42,90.75,98.92,11.92,96.92,creator,{"creator":86}
Fabrice Andre,2002073707,42.08,51.08,35.75,58.17,71.25,24.17,22.17,73.58,83.5,41.92,27,20.75,,{}
Enrico Lazzeri,2000069825,17.67,23,23.92,15.58,25.5,24.17,22.17,40.08,24.25,24.25,54.83,29.75,,{}
Elías Santini,2000278990,99.42,70.92,93.92,25.17,80.75,87,91.67,8.5,24.25,34.58,65.42,80.83,goalscorer;creator,{"goalscorer":88;"creator":89}
Hugo Van Dijck,2000035785,74.17,34.42,44.17,37.5,14.67,10.83,22.17,61.83,52.42,72.75,25.83,21.67,,{}
Leandro Rushinsque,2002120020,10.5,10.08,4.92,85.08,60.5,84.92,72.5,26.5,24.25,47,86.83,61.58,creator,{"creator":79}
Nahuel Cardoso,2002128069,22.58,43.25,37.75,51.75,39.5,64,60.25,64.58,80.58,22.08,31.75,50.83,,{}
Ángel Manuel Fernández Iglesias,2002124291,7.92,96.08,33.67,2.25,2.5,10.83,2.67,45.42,24.25,78.67,1.83,2.67,,{}
Nico Valli,2002075228,96,10.75,23.92,60.83,84.58,0.17,1.08,10.58,24.25,73.17,55.42,0.75,,{}
Román Soto,2002128217,42.08,8.33,33.67,96.08,49.33,46.75,53.33,12.83,24.25,44.25,86.58,45,,{}
Martín Zárate,14219610,17.67,42.33,17,69.5,54.42,91.92,82.83,64.58,90.75,22.92,76.75,89.58,creator;adwanced forward,{"creator":87;"adwanced forward":83}
Rafa Martín,2002074576,90,65,76.75,28.83,49.33,7.33,4,71.25,64.08,61.67,49.5,9.83,,{}
Françis Coopman,2000072965,42.08,85.17,73.33,3.83,66.17,10.83,9.08,61.83,80.58,53.92,27.25,11.83,,{}
Nicolò Bernardi,2002133563,87.5,68.92,58.67,59.58,66.17,41.42,47.83,75.42,69.83,75.75,41.08,62.83,,{}
Nicolás Feuillassier,2000143473,56.17,57.33,63.75,85.58,71.25,84.92,80.08,89,69.83,30.83,76.33,76.83,pressing forward;creator;adwanced forward,{"pressing forward":78;"creator":83;"adwanced forward":77}
Maximiliano Valentini,2000293641,87.5,90.17,97.67,26.75,1.67,84.92,71.33,15.5,73.83,57.08,72.42,88.92,goalscorer;creator;adwanced forward,{"goalscorer":92;"creator":78;"adwanced forward":81}
Cléber,2002121113,77.92,38.17,67.58,16.75,22.5,35.83,39.08,29,24.25,84.33,68.58,27.92,,{}
Manuel Portas,2002102104,66.5,43.25,56.5,10.92,0.83,14.58,9.08,12.83,24.25,98.58,23.17,3.08,,{}
Marouane Balouk,18107453,10.5,74.75,27.75,8.08,49.33,51.5,19.75,55.75,24.25,99.58,2.5,14.92,,{}
Estanis Poch,2002126044,17.67,5.58,10.83,66.25,2.92,24.17,52.25,1,24.25,45.42,79.83,50.83,,{}
Miguel Nieto,2002073106,94.17,45.67,83,90.33,80.75,75.33,61.83,18.33,24.25,42.08,47.75,96.08,pressing forward,{"pressing forward":86}
Alessandro,2002132313,70.58,47.42,63.75,47.67,94.92,46.75,65.08,12.83,24.25,31.42,54.25,54,,{}
Leandro,2002131909,96,70.92,97.25,6.25,66.17,51.5,52.25,2.17,24.25,56.5,19.83,77.92,goalscorer,{"goalscorer":88}
Matheus Miguez,2000308477,13.42,31.67,26.25,18,97,14.58,39.08,92.83,69.83,96.08,6.42,13.83,,{}
Joaquín Storelli,2002136309,97.08,15.75,65.58,60,22.5,24.17,16.17,15.5,24.25,78.08,30.92,7.08,,{}
Juan Martín Lo Celso,2000146786,87.5,61,76.75,48.08,60.5,75.33,87.67,54.5,83.5,15.92,45.75,75.25,creator,{"creator":82}
David Luiz,2002121782,51.17,20.33,26.25,31.58,29.08,14.58,42.25,12.83,24.25,70.25,11.08,35.58,,{}
Filippo Palazzino,2000022363,31.17,2.58,12.42,52.83,54.42,46.75,73.5,3.17,24.25,11.92,72.75,49.17,,{}
Emilio Ochoa,2002074472,81,54.92,65.58,27.25,44.67,46.75,42.25,47.33,24.25,40.42,18.67,38.17,,{}
Amar Svensson,2002142644,17.67,49.92,23.92,5.42,3.5,64,72.5,52.92,24.25,12.58,59.08,52.58,,{}
Nahuel Ulariaga,14243664,22.58,40.75,27.75,32.5,97.92,41.42,70,4.42,24.25,65.75,11.67,31.33,,{}
Lanre Michael,2002145275,66.5,39.25,60.33,43.25,10.33,64,54.83,26.5,64.08,34.92,54.83,54,,{}
Nicholas Bonfanti,43424680,97.08,91.08,96.83,51.75,49.33,29.58,23.67,29,24.25,38.92,35.08,16.67,goalscorer,{"goalscorer":95}
Valentino Simoni,2000050029,81,14.83,39.67,56.83,22.5,51.5,58.42,94,64.08,13.92,41.67,49.17,,{}
Alessandro Arioli,43611619,7.92,8.33,4.92,87.92,12.67,35.83,68.58,75.42,95.92,19.75,74,63.83,,{}
Fabiano,2000219167,70.58,82.75,90.08,54.42,60.5,64,45.75,84.42,24.25,49.58,54.25,66.25,goalscorer,{"goalscorer":81}
Miguel Ferreyra,2002136310,5.58,22.17,8.42,56.83,88.42,80.92,95,1,24.25,6.92,93,81.75,creator;adwanced forward,{"creator":88;"adwanced forward":87}
Leonel Pavón,2002106441,46.67,15.75,29.92,83.75,88.42,75.33,83.25,71.25,69.83,89.58,20.83,92.92,pressing forward;creator,{"pressing forward":86;"creator":79}
Giovanni Kamperveen,2002124549,7.92,2.25,6.75,49.08,33.92,51.5,37.33,40.08,24.25,76.58,67.67,26.92,,{}
Matías Ramírez,2002074622,22.58,84,71.33,20.58,1.33,35.83,33.17,49.58,64.08,67.75,72.08,45,,{}
Felipe,2002131986,26.83,8.33,17,39.5,33.92,41.42,60.25,32.75,24.25,72.58,20.17,63.83,,{}
Daniel Sousa,2002102928,66.5,14.25,26.25,64.42,39.5,64,58.42,52.92,64.08,83.42,13.33,78.58,,{}
Vando Alago,2000024027,42.08,45.67,44.17,9.92,16.92,4,4,47.33,24.25,86.08,12.5,5.33,,{}
Dario Gewelke,2002125058,0.83,4.08,0.83,55.83,49.33,10.83,16.17,34.92,52.42,37.08,60.17,16.17,,{}
Cristian Recalde,2000096935,99.67,61,92.58,10.5,16.92,51.5,16.17,15.5,24.25,47.58,43.75,51.75,,{}
Yoann Berger,2002154134,13.42,71.83,35.75,25.17,76.42,58.75,58.42,1,24.25,63.25,7,61.58,,{}
Gonzalo Roca,2002127697,22.58,82.75,37.75,64.67,98.67,58.75,40.5,71.25,64.08,78.33,69.75,39.5,,{}
Dudé,2002119946,56.17,7.33,19,15.58,91.67,4,23.67,18.33,24.25,97.92,35.5,12.75,,{}
Christopher Ziegler,2002099895,74.17,76.5,65.58,46.33,80.75,91.92,84.5,71.25,83.5,59.25,74,70.5,creator;adwanced forward,{"creator":88;"adwanced forward":72}
Bautista Farías,2000105851,94.17,14.25,56.5,18,66.17,4,10.83,21.67,24.25,82,16.75,3.58,,{}
Ariel Expósito,2002127645,13.42,1.83,4.92,46.75,54.42,72.17,47.83,49.58,24.25,12.83,65.42,82.92,,{}
Jan Hurtado,86059427,96,19.25,37.75,22.33,33.92,1.75,14.58,54.5,24.25,83.75,19.83,3.75,,{}
Carlos Antônio,2002119959,70.58,74.75,88.17,5.58,54.42,41.42,18,73.58,92.5,89.83,25.25,40.83,goalscorer;target forward,{"goalscorer":78;"target forward":85}
Dinis Braga,2002162484,22.58,5,6.75,41.75,8.33,14.58,20.92,29,58.33,25.75,43,23.83,,{}
Lars Zischler,2002101087,2.08,74.08,6.75,75.75,76.42,68.58,53.33,64.58,24.25,51.58,64.92,69.75,pressing forward,{"pressing forward":76}
Khalidou Cissé,2002124576,46.67,38.17,23.92,73.92,91.67,41.42,35.75,40.08,24.25,70.75,66.58,50.83,pressing forward,{"pressing forward":83}
Marcos Guayacán,2002122830,87.5,43.25,60.33,20,44.67,46.75,14.58,12.83,24.25,70.08,5.25,25.25,,{}
Nicolás Afonso,2000287456,77.92,41.58,83.67,6.25,60.5,0.67,1.08,89,91.58,21.58,75.83,6.42,,{}
Da Silva,2002143674,42.08,82.08,69.58,42.75,60.5,64,56.58,81.5,24.25,74.92,4.92,79.75,,{}
Paulo Ricardo,2002121812,2.92,49.92,3.58,84.58,84.58,78.17,86.67,37.5,24.25,7.08,99.75,82.5,pressing forward;creator;adwanced forward,{"pressing forward":85;"creator":82;"adwanced forward":91}
Àlex Pachón,2002173677,5.58,4.67,2.83,76.08,25.5,93.33,89.92,42.83,64.08,10.42,99.08,87.92,creator;adwanced forward,{"creator":92;"adwanced forward":94}
Lorenzo,2000034331,7.92,21.25,8.42,25.83,99.83,35.83,33.17,15.5,24.25,43.83,23.75,13.83,,{}
Alejandro Sarabia,2002102103,0.83,9.42,0.83,96.75,80.75,87,68.58,31,24.25,60.83,51.25,79.75,pressing forward,{"pressing forward":89}
Flávio Cruz,2002072517,0.83,4.42,0.83,95.75,96,64,58.42,37.5,24.25,67.42,62.42,49.17,pressing forward,{"pressing forward":96}
Donato Mazzoli,2002101083,7.92,34.42,15.08,36.25,49.33,58.75,47.83,64.58,95.92,44.92,37.58,49.17,,{}
Luis Sequeira,14223037,22.58,94.17,56.5,2.92,88.42,29.58,18,12.83,24.25,75.25,13.33,4,,{}
Ezequiel Maza,2002128072,61.08,30.17,29.92,35.58,44.67,64,47.83,12.83,24.25,47.75,41.08,50,,{}
Nicolás Aguilera,2002104971,51.17,34.42,37.75,74.67,60.5,24.17,31.75,40.08,73.83,90.33,15.58,77.25,,{}
Henrique,2000272202,7.92,24.08,8.42,78.33,66.17,41.42,68.58,79.33,89.5,37.75,77.92,39.5,,{}
Genaro Bracamonte,2000200414,42.08,32.83,33.67,34.5,76.42,14.58,28.33,61.83,24.25,82,40.42,25.25,,{}
Facundo Guch,2000300041,46.67,41.58,46.92,42.33,39.5,29.58,37.33,37.5,64.08,62.92,33.92,45.58,,{}
Javier,2002154676,42.08,24.08,29.92,23.75,6.83,4,16.17,84.42,91.58,77.92,3.33,13.83,target forward,{"target forward":85}
Steven Pérard,2002123475,87.5,45.67,91.42,27.67,10.33,41.42,13.33,31,73.83,75.92,45.17,41.83,,{}
Patati,19407328,17.67,90.17,60.33,61.58,54.42,96.5,87.67,57.17,24.25,2.75,79.25,81.42,creator;adwanced forward,{"creator":92;"adwanced forward":80}
Ashley Burt,2002124089,81,63.42,79,35.17,97,19.17,16.17,61.83,24.25,59.67,29.17,11.25,,{}
Rogerio dos Santos,2002161076,70.58,94.75,89.25,85.92,71.25,89.08,84.5,71.25,80.58,1.92,97.67,75.25,goalscorer;pressing forward;creator;adwanced forward,{"goalscorer":85;"pressing forward":79;"creator":87;"adwanced forward":86}
Thierry Henry,2000304729,70.58,48.67,51.58,12.58,39.5,0.67,7.17,77.67,87.17,92.58,6,2.42,target forward,{"target forward":86}
Gino Albertengo,14257069,77.92,76.5,83.67,50.67,39.5,10.83,7.17,42.83,24.25,86.08,6.42,6.42,goalscorer,{"goalscorer":79}
Nathan Fernandes,2000086446,90,39.25,67.58,50,84.58,98,99.42,32.75,24.25,13.33,96.92,99.75,creator;adwanced forward,{"creator":99;"adwanced forward":98}
Franco Mariatti,2002146726,51.17,62.17,75.58,77.58,39.5,14.58,26.42,24.42,24.25,64.92,63.58,60.33,,{}
Jelani Trevisan,2000107087,10.5,95.75,44.17,1.42,1.08,19.17,1.08,64.58,24.25,75.42,1.58,1.42,,{}
Juan Loza,2002127367,13.42,64.42,35.75,32.5,54.42,84.92,42.25,94.75,92.5,34.08,24.33,32.33,,{}
Dadá,2002162483,87.5,22.17,49.5,14.42,6.83,10.83,16.17,42.83,83.5,58.92,14,33.58,,{}
Sven Janssen,2000111421,51.17,49.92,49.5,45.17,84.58,29.58,30.17,90.25,69.83,93.25,66.58,69.75,,{}
Jorge Rodríguez,2002128416,74.17,56.33,73.33,26.33,6.83,72.17,75.17,34.92,24.25,35.08,13.33,62.33,creator,{"creator":74}
Kwame Mensah,2002153719,36.33,19.25,23.92,26.33,91.67,24.17,19.75,79.33,89.5,32.08,78.33,29.75,,{}
Ángel Rendo,2002174570,92.08,22.17,37.75,5.83,2.92,35.83,40.5,31,64.08,32.92,28.5,39.5,,{}
Unax Del Cura,2000232649,87.5,31.08,69.58,17.58,66.17,1.75,9.08,15.5,24.25,91.92,25.83,7.08,,{}
Akwasi Owusu,2000133283,7.92,34.42,19,4.75,8.33,19.17,4,68.58,24.25,88.25,1.42,4.67,,{}
Malthe Melin,2000140134,10.5,77.92,27.75,3.25,99.33,46.75,22.17,64.58,24.25,91.58,7.42,11.25,,{}
Matías Correa,2002105416,92.08,51.08,81.42,57.33,6.83,14.58,24.92,98.75,97.5,10.58,29.67,17.83,,{}